Dhc	C5	n=5	m=5
R?`DA_gD?S?g?g_SGDD?gSA_gD?gD?	C19(4, 6)	n=19	m=38
R?`@C`GH?c@G`GOcCHC`GQC_cH?cH?	C19(4, 7)	n=19	m=38
R?`@?_G`ECKGKGEC@`CKGOo_``?``?	C19(4, 9)	n=19	m=38
R?AEB?oE?W?o?o_WWEB?oKB?WE?WE?	C19(5, 6)	n=19	m=38
R?AA@AOQ@GQOQOHGQQAQOHH?QQ?QQ?	C19(5, 8)	n=19	m=38
R??CAA_S@OQ_Q_hOIS@Q_DI?IS?IS?	C19(6, 8)	n=19	m=38
R??CA?_cEOK_K_eOHc@K_Cq?Hc?Hc?	C19(6, 9)	n=19	m=38
R???CB?W@_R?r?X_EW?r?BK?EW?EW?	C19(7, 8)	n=19	m=38
R???C@?gE_L?l?U_Dg?l?As?Dg?Dg?	C19(7, 9)	n=19	m=38
R????A?oF?]?]?N?Bo?]?@w?Bo?Bo?	C19(8, 9)	n=19	m=38
RlUihSTAgI_T?T?IoAi?Tg@TOAlOAg	C19(1, 3, 5)	n=19	m=57
RlSgkTDGga`D`DOacGg`DaCTCGlCGg	C19(1, 3, 7)	n=19	m=57
RhdLIchDGS_h?h_SgDL?hSAcgDKgDG	C19(1, 4, 6)	n=19	m=57
RhdHKdHHGc`H`HOccHK`HQCccHKcHG	C19(1, 4, 7)	n=19	m=57
RhEIHEPQHGqPQPHGqQIQPHHCQQKQQG	C19(1, 5, 8)	n=19	m=57
RhCKIE`SHOq`Q`hOiSHQ`DICISKISG	C19(1, 6, 8)	n=19	m=57
RUWosXEGob@E`EObCGo`EaCZCGrCGo	C19(2, 3, 7)	n=19	m=57
RUWooWE_uBKEKEEB@_oKE_oZ@_r@_o	C19(2, 3, 9)	n=19	m=57
RQIURGqEOX?q?q_XWER?qKBIWEQWEO	C19(2, 5, 6)	n=19	m=57
RQIQPIQQPHQQQQHHQQQQQHHIQQQQQO	C19(2, 5, 8)	n=19	m=57
RQGSQGacUPKaKaePHcPKaCqIHcQHcO	C19(2, 6, 9)	n=19	m=57
RQGOSJAWP`RArAX`EWOrABKIEWQEWO	C19(2, 7, 8)	n=19	m=57
RCrb`o[B_M?[?[?MOBe?[w@poB`oB_	C19(3, 4, 5)	n=19	m=57
RCp`_oK`eEKKKKEE@`cKKoop`````_	C19(3, 4, 9)	n=19	m=57
R?bFB_wF?[?w?w_[WFF?w[B_wF?wF?	C19(4, 5, 6)	n=19	m=57
R?`@C`GhEcLGlGUcDhClGQs_dh?dh?	C19(4, 7, 9)	n=19	m=57
R??CAA_sFO]_]_nOJs@]_Dy?Js?Js?	C19(6, 8, 9)	n=19	m=57
R???CB?wF_^?~?^_Fw?~?B{?Fw?Fw?	C19(7, 8, 9)	n=19	m=57
ShCGGC@?G?_@?@??_?G?@??C??G??K??C	C20(1,)	n=20	m=20
SQGOOGA?O@?A?A?@??O?A??G??S??Q??G	C20(2,)	n=20	m=20
SCO__OC?_A?C?C?A??_?C??Q??a??`??O	C20(3,)	n=20	m=20
S?`@?_G@?C?G?G?C?@??G_?`?@@?@?_?_	C20(4,)	n=20	m=20
S?AA@?OA?G?O?O?G?AC?OO@?_A?_A?O@?	C20(5,)	n=20	m=20
S??CA?_C?O?_?_?OOCA?_GA?OC?OC?GA?	C20(6,)	n=20	m=20
S???C@?G?_@?@?__GG@@?CC?GG?GG?CC?	C20(7,)	n=20	m=20
S????A?O@?A?a?P?CO?a?AG?CO?CO?AG?	C20(8,)	n=20	m=20
S??????_A?S?S?I?A_?S?@O?A_?A_?@O?	C20(9,)	n=20	m=20
S???????C?G?G?C?@??G??_?@??@???_?	C20(10,)	n=20	m=10
SlSggSD?gA_D?D?A_?g?D??U??i??l??S	C20(1, 3)	n=20	m=40
ShdHGcH@GC_H?H?C_@G?H_?d?@H?@K_?c	C20(1, 4)	n=20	m=40
ShEIHCPAGG_P?P?G_AK?PO@C_AG_AKO@C	C20(1, 5)	n=20	m=40
ShCKIC`CGO_`?`?OoCI?`GACOCGOCKGAC	C20(1, 6)	n=20	m=40
ShCGKD@GG_`@@@__gGH@@CCCGGGGGKCCC	C20(1, 7)	n=20	m=40
ShCGGE@OH?a@a@P?cOGa@AGCCOGCOKAGC	C20(1, 8)	n=20	m=40
ShCGGC@_I?s@S@I?a_GS@@OCA_GA_K@OC	C20(1, 9)	n=20	m=40
ShCGGC@?K?g@G@C?`?GG@?_C@?G@?K?_C	C20(1, 10)	n=20	m=30
SUWooWE?oB?E?E?B??o?E??Y??u??r??W	C20(2, 3)	n=20	m=40
SQIQPGQAOH?Q?Q?H?AS?QO@G_AS_AQO@G	C20(2, 5)	n=20	m=40
SQGSQGaCOP?a?a?POCQ?aGAGOCSOCQGAG	C20(2, 6)	n=20	m=40
SQGOSHAGO`@A@A_`GGP@ACCGGGSGGQCCG	C20(2, 7)	n=20	m=40
SQGOOIAOP@AAaAP@COOaAAGGCOSCOQAGG	C20(2, 8)	n=20	m=40
SQGOOGA?S@GAGAC@@?OGA?_G@?S@?Q?_G	C20(2, 10)	n=20	m=30
SCp`_oK@_E?K?K?E?@_?K_?r?@b?@`_?o	C20(3, 4)	n=20	m=40
SCQa`OSA_I?S?S?I?Ac?SO@Q_Aa_A`O@O	C20(3, 5)	n=20	m=40
SCO_cPCG_a@C@C_aGG`@CCCQGGaGG`CCO	C20(3, 7)	n=20	m=40
SCO__QCO`AACaCPACO_aCAGQCOaCO`AGO	C20(3, 8)	n=20	m=40
SCO__OC_aASCSCIAA__SC@OQA_aA_`@OO	C20(3, 9)	n=20	m=40
SCO__OC?cAGCGCCA@?_GC?_Q@?a@?`?_O	C20(3, 10)	n=20	m=30
S?bB@_WB?K?W?W?K?BC?Wo@`_B@_B?o@_	C20(4, 5)	n=20	m=40
S?`DA_gD?S?g?g?SODA?ggA`OD@OD?gA_	C20(4, 6)	n=20	m=40
S?`@C`GH?c@G@G_cGH@@GcC`GH@GH?cC_	C20(4, 7)	n=20	m=40
S?`@?_G`ACSGSGICA`?SG`O`A`@A`?`O_	C20(4, 9)	n=20	m=40
S?`@?_G@CCGGGGCC@@?GG__`@@@@@?___	C20(4, 10)	n=20	m=30
S?AEB?oE?W?o?o?WOEE?oWB?oE?oE?WB?	C20(5, 6)	n=20	m=40
S?AAD@OI?g@O@O_gGID@OSD?gI?gI?SD?	C20(5, 7)	n=20	m=40
S?AA@AOQ@GAOaOPGCQCaOQH?cQ?cQ?QH?	C20(5, 8)	n=20	m=40
S?AA@?OaAGSOSOIGAaCSOPP?aa?aa?PP?	C20(5, 9)	n=20	m=40
S??CA?_cAOS_S_IOQcAS_HQ?Qc?Qc?HQ?	C20(6, 9)	n=20	m=40
S??CA?_CCOG_G_COPCAG_Ga?PC?PC?Ga?	C20(6, 10)	n=20	m=30
S???CB?W@_B?b?p_KW@b?EK?KW?KW?EK?	C20(7, 8)	n=20	m=40
S???C@?gA_T?T?i_Ig@T?DS?Ig?Ig?DS?	C20(7, 9)	n=20	m=40
S???C@?GC_H?H?c_HG@H?Cc?HG?HG?Cc?	C20(7, 10)	n=20	m=30
S????A?oB?U?u?Z?Eo?u?BW?Eo?Eo?BW?	C20(8, 9)	n=20	m=40
S????A?OD?I?i?T?DO?i?Ag?DO?DO?Ag?	C20(8, 10)	n=20	m=30
S??????_E?[?[?M?B_?[?@o?B_?B_?@o?	C20(9, 10)	n=20	m=30
SlUihSTAgI_T?T?I_Ak?TO@U_Ai_AlO@S	C20(1, 3, 5)	n=20	m=60
SlSgkTDGga`D@D_agGh@DCCUGGiGGlCCS	C20(1, 3, 7)	n=20	m=60
SlSggUDOhAaDaDPAcOgaDAGUCOiCOlAGS	C20(1, 3, 8)	n=20	m=60
SlSggSD_iAsDSDIAa_gSD@OUA_iA_l@OS	C20(1, 3, 9)	n=20	m=60
SlSggSD?kAgDGDCA`?gGD?_U@?i@?l?_S	C20(1, 3, 10)	n=20	m=50
ShdLIchDGS_h?h?SoDI?hgAdODHODKgAc	C20(1, 4, 6)	n=20	m=60
ShdHKdHHGc`H@H_cgHH@HcCdGHHGHKcCc	C20(1, 4, 7)	n=20	m=60
ShdHGcH`ICsHSHICa`GSH`OdA`HA`K`Oc	C20(1, 4, 9)	n=20	m=60
ShdHGcH@KCgHGHCC`@GGH__d@@H@@K__c	C20(1, 4, 10)	n=20	m=50
ShEILDPIGg`P@P_ggIL@PSDCgIGgIKSDC	C20(1, 5, 7)	n=20	m=60
ShEIHEPQHGaPaPPGcQKaPQHCcQGcQKQHC	C20(1, 5, 8)	n=20	m=60
ShEIHCPaIGsPSPIGaaKSPPPCaaGaaKPPC	C20(1, 5, 9)	n=20	m=60
ShCKIC`cIOs`S`IOqcIS`HQCQcGQcKHQC	C20(1, 6, 9)	n=20	m=60
ShCKIC`CKOg`G`COpCIG`GaCPCGPCKGaC	C20(1, 6, 10)	n=20	m=50
ShCGKD@gI_t@T@i_igHT@DSCIgGIgKDSC	C20(1, 7, 9)	n=20	m=60
ShCGKD@GK_h@H@c_hGHH@CcCHGGHGKCcC	C20(1, 7, 10)	n=20	m=50
ShCGGE@OL?i@i@T?dOGi@AgCDOGDOKAgC	C20(1, 8, 10)	n=20	m=50
SUWosXEGob@E@E_bGGp@ECCYGGuGGrCCW	C20(2, 3, 7)	n=20	m=60
