Dhc	Andrasfai(2)
KCQadPSiaiDS	Circ(12;3.5)
LlSggSD?kAgDgD	Circ(13;1.3)
LhdHGcH`ICcHcH	Circ(13;1.4)
LhEIHEPQHGaPaP	Circ(13;1.5)
LUWooWE?sBWEWE	Circ(13;2.3)
LQIQPIQQPHQQQQ	Circ(13;2.5)
LQGSUHaKOpPaPa	Circ(13;2.6)
LCp`_oK`eEKKKK	Circ(13;3.4)
L?`DE`glAsDgDg	Circ(13;4.6)
L?AEFBo]@wBoBo	Circ(13;5.6)
MlSggSD?gAoDODgA_	Circ(14;1.3)
MhdHGcH@KCgHGHcC_	Circ(14;1.4)
MhEIHCPaIGcPCPaG_	Circ(14;1.5)
MhCKIE`SHOa`A``O_	Circ(14;1.6)
MhCGKD@GG_`@@@___	Circ(14;1.7)
MUWooWE?oBOEoEWB?	Circ(14;2.3)
MQIQPGQaQHCQcQQH?	Circ(14;2.5)
MQGOSHAGO`@A`AO`?	Circ(14;2.7)
MCp`_oK@cEWKWKKE?	Circ(14;3.4)
MCQa`OSaaISSSSII?	Circ(14;3.5)
MCO_cPCG_aPCPCGa?	Circ(14;3.7)
M?`@C`GHCcHGHGCc?	Circ(14;4.7)
M?AEBAouBWEoEoBW?	Circ(14;5.6)
M?AAD@OiAgDODOAg?	Circ(14;5.7)
MlSgkTDGgapDPDga_	Circ(14;1.3.7)
MhEILDPiIgdPDPag_	Circ(14;1.5.7)
MUWosXEGobPEpEWb?	Circ(14;2.3.7)
MCQadPSiaiTSTSIi?	Circ(14;3.5.7)
M?AEFBo}BwFoFoBw?	Circ(14;5.6.7)
NlSggSD?gA_D_DOAs?g	Circ(15;1.3)
NhdHGcH@GCoHOHGCq@G	Circ(15;1.4)
NhCKIC`cIOc`C`AOocG	Circ(15;1.6)
NUWooWE?oB?E_EoBK?o	Circ(15;2.3)
NQGSQGacQPCaCaaPGcO	Circ(15;2.6)
NQGOSJAWP`BABA``GWO	Circ(15;2.7)
NCp`_oK@_EOKoKWEE@_	Circ(15;3.4)
NCO_cRCW`aBCbCPaCW_	Circ(15;3.7)
N?`DA_gdASSgSgISAd?	Circ(15;4.6)
N??CEB_{BoF_F_Bo?{?	Circ(15;6.7)
NhdLIchdISshShISqdG	Circ(15;1.4.6)
NUWosZEWpbBEbEpbKWo	Circ(15;2.3.7)
OlSggSD?gA_D?D_Ag?l?D	Circ(16;1.3)
OhdHGcH@GC_H_HOCc@K_H	Circ(16;1.4)
OhEIHCPAGGoPOPGGaAKOP	Circ(16;1.5)
OhCKIC`CKOg`G`CO`CKG`	Circ(16;1.6)
OhCGKD@gI_d@D@A__gKD@	Circ(16;1.7)
OhCGGE@OH?a@A@@?_OKA@	Circ(16;1.8)
OUWooWE?oB?E?E_BW?r?E	Circ(16;2.3)
OQIQPGQAOHOQOQGHQAQOQ	Circ(16;2.5)
OQGSQGaCSPGaGaCPPCQGa	Circ(16;2.6)
OQGOOIAOP@AAAA@@OOQAA	Circ(16;2.8)
OCp`_oK@_E?K_KoEK@`_K	Circ(16;3.4)
OCQa`OSA_IOSOSgIIA`OS	Circ(16;3.5)
OCO_cPCgaaDCDCaaGg`DC	Circ(16;3.7)
OCO__QCO`AACAC`AGO`AC	Circ(16;3.8)
O?bB@_WB?KOWoWWKEB?oW	Circ(16;4.5)
O?`@C`GhAcDGdGQcCh?dG	Circ(16;4.7)
O?AAD@OiAgTOTOIgAi?TO	Circ(16;5.7)
O?AA@AOQ@GQOQOHGAQ?QO	Circ(16;5.8)
O??CE@_kEoL_L_Eo@k?L_	Circ(16;6.7)
O??CAA_SDOI_I_DO@S?I_	Circ(16;6.8)
OlUihSTAgIoTOTgIiAlOT	Circ(16;1.3.5)
OlSgkTDgiadDDDaagglDD	Circ(16;1.3.7)
OlSggUDOhAaDAD`AgOlAD	Circ(16;1.3.8)
OhdHKdHhIcdHdHQcchKdH	Circ(16;1.4.7)
OhEILDPiIgtPTPIgaiKTP	Circ(16;1.5.7)
OhEIHEPQHGqPQPHGaQKQP	Circ(16;1.5.8)
OhCKIE`SLOi`I`DO`SKI`	Circ(16;1.6.8)
OUWooYEOpBAEAE`BWOrAE	Circ(16;2.3.8)
OQIQPIQQPHQQQQHHQQQQQ	Circ(16;2.5.8)
OCrb`o[B_MO[o[wMMB`o[	Circ(16;3.4.5)
OCQadPSiaiTSTSiiIi`TS	Circ(16;3.5.7)
OCO_cRCwbaFCFCbaGw`FC	Circ(16;3.7.8)
O?AADBOyBgVOVOJgAy?VO	Circ(16;5.7.8)
O??CEB_{FoN_N_Fo@{?N_	Circ(16;6.7.8)
PlSggSD?gA_D?D?Ao?i?Dg?S	Circ(17;1.3)
PhdHGcH@GC_H?H_Cg@H?Hc?c	Circ(17;1.4)
PhEIHCPAGG_P_POGcAG_Pa@C	Circ(17;1.5)
PhCKIC`CGOo`O`GOaCGO``AC	Circ(17;1.6)
PhCGKD@GK_h@H@C_`GGH@_cC	Circ(17;1.7)
PUWooWE?oB?E?E?BO?u?EW?W	Circ(17;2.3)
PQIQPGQAOH?Q_QOHCAS_QQ@G	Circ(17;2.5)
PQGSQGaCOPOaOaGPACSOaPAG	Circ(17;2.6)
PQGOSHAGS`HAHAC`@GSHAOcG	Circ(17;2.7)
PQGOOIAoR@EAEAB@?oSEAOWG	Circ(17;2.8)
PCp`_oK@_E?K?K_EW@b?KK?o	Circ(17;3.4)
PCQa`OSA_I?S_SOISAa_SI@O	Circ(17;3.5)
PCO__QCobAECECBAOoaECGWO	Circ(17;3.8)
P?bB@_WB?K?W_WoKKB@_WE@_	Circ(17;4.5)
P?`DA_gD?SOgOggSID@OgDA_	Circ(17;4.6)
P?`@C`GHCcHGHGccHH@HGCc_	Circ(17;4.7)
P?AA@AOqBGEOeORGCq?eOAX?	Circ(17;5.8)
P??CE@_KCoX_X_KoBK?X_@e?	Circ(17;6.7)
P??CAA_sBOU_U_JOAs?U_@Y?	Circ(17;6.8)
PlUihSTAgI_T_TOIsAi_Ti@S	Circ(17;1.3.5)
PhdLIchDGSohOhgSiDHOhdAc	Circ(17;1.4.6)
PUWooYEorBEEEEBBOouEEWWW	Circ(17;2.3.8)
PQIQPIQqRHEQeQRHCqSeQQXG	Circ(17;2.5.8)
PQGSUHaKSpXaXaKpBKSXaPeG	Circ(17;2.6.7)
PCrb`o[B_M?[_[oM[Bb_[M@o	Circ(17;3.4.5)
P??CEB_{Fo^_^_NoB{?^_@}?	Circ(17;6.7.8)
QlSggSD?gA_D?D?A_?k?DO?U_?g	Circ(18;1.3)
QhdHGcH@GC_H?H?Co@I?HG?eO@G	Circ(18;1.4)
QhEIHCPAGG_P?P_GgAH?PC@EGAG	Circ(18;1.5)
QhCGKD@GG_p@P@G_aGGP@@CEAGG	Circ(18;1.7)
QhCGGE@OL?i@I@D?`OGI@?gE@OG	Circ(18;1.8)
QhCGGC@_I?c@C@A?__GC@?OE?_G	Circ(18;1.9)
QUWooWE?oB?E?E?B??s?Eo?X_?o	Circ(18;2.3)
QQIQPGQAOH?Q?Q_HGAP?Qc@HGAO	Circ(18;2.5)
QQGOSHAGO`PAPAG`AGOPA`CHAGO	Circ(18;2.7)
QQGOOGA_Q@CACAA@?_OCA_OH?_O	Circ(18;2.9)
QCp`_oK@_E?K?K?EO@e?KW?oo@_	Circ(18;3.4)
QCQa`OSA_I?S?S_IGAd?SS@OgA_	Circ(18;3.5)
QCO_cPCG_aPCPCGaAGcPCPCOaG_	Circ(18;3.7)
QCO__QCOdAICICDA@OcICOgO`O_	Circ(18;3.8)
QCO__OC_aACCCCAA?_cCCOOO___	Circ(18;3.9)
Q?bB@_WB?K?W?W_KWBB?WK@_WB?	Circ(18;4.5)
Q?`@?_G`ACCGCGACO`ACGGO_O`?	Circ(18;4.9)
Q?AAD@OI?gPOPOggII@PODD?II?	Circ(18;5.7)
Q?AA@?OaAGCOCOaGGa@COCP?Ga?	Circ(18;5.9)
Q???CB?WD_Z?Z?L_BW?Z?@k?BW?	Circ(18;7.8)
Q???C@?gA_T?T?I_Ag?T?@S?Ag?	Circ(18;7.9)
QlUihSTAgI_T?T_IgAl?TS@UgAg	Circ(18;1.3.5)
QlSgkTDGgapDPDGaaGkPDPCUaGg	Circ(18;1.3.7)
QlSggUDOlAiDIDDA`OkIDOgU`Og	Circ(18;1.3.8)
QlSggSD_iAcDCDAA__kCDOOU__g	Circ(18;1.3.9)
QhdHGcH`ICcHCHACo`ICHGOeO`G	Circ(18;1.4.9)
QhEILDPIGgpPPPggiIHPPDDEIIG	Circ(18;1.5.7)
QhEIHCPaIGcPCPaGgaHCPCPEGaG	Circ(18;1.5.9)
QhCGKD@gI_t@T@I_agGT@@SEAgG	Circ(18;1.7.9)
QUWosXEGobPEPEGbAGsPEpCXaGo	Circ(18;2.3.7)
QUWooWE_qBCECEAB?_sCEoOX__o	Circ(18;2.3.9)
QQIQPGQaQHCQCQaHGaPCQcPHGaO	Circ(18;2.5.9)
QCrb`o[B_M?[?[_MWBf?[[@owB_	Circ(18;3.4.5)
QCp`_oK`aECKCKAEO`eCKWOoo`_	Circ(18;3.4.9)
QCQadPSI_iPSPSgiIIdPSTDOiI_	Circ(18;3.5.7)
QCQa`OSaaICSCSaIGadCSSPOga_	Circ(18;3.5.9)
QCO_cPCgaaTCTCIaAgcTCPSOag_	Circ(18;3.7.9)
QCO__QCofAMCMCFA@ocMCOwO`o_	Circ(18;3.8.9)
Q?AAD@OiAgTOTOigIi@TODT?Ii?	Circ(18;5.7.9)
Q???CB?wF_^?^?N_Bw?^?@{?Bw?	Circ(18;7.8.9)
QlUihSTaiIcTCTaIgalCTSPUgag	Circ(18;1.3.5.9)
QlSgkTDgiatDTDIaagkTDPSUagg	Circ(18;1.3.7.9)
QhEILDPiIgtPTPigiiHTPDTEIiG	Circ(18;1.5.7.9)
QCQadPSiaiTSTSiiIidTSTTOii_	Circ(18;3.5.7.9)
RlSggSD?gA_D?D?A_?g?D_?T??l??g	Circ(19;1.3)
RhdHGcH@GC_H?H?C_@K?HO?c_@K_@G	Circ(19;1.4)
RhEIHCPAGG_P?P?GoAI?PG@COAKOAG	Circ(19;1.5)
RhCKIC`CGO_`?`_OgCH?`CACGCKGCG	Circ(19;1.6)
RhCGKD@GG_`@`@O_cGG`@ACCCGKCGG	Circ(19;1.7)
RhCGGE@OH?q@Q@H?aOGQ@@GCAOKAOG	Circ(19;1.8)
RUWooWE?oB?E?E?B??o?E_?Z??r??o	Circ(19;2.3)
RQIQPGQAOH?Q?Q?HOAQ?QG@IOAQOAO	Circ(19;2.5)
RQGSQGaCOP?a?a_PGCP?aCAIGCQGCO	Circ(19;2.6)
RQGOSHAGO`@A`AO`CGO`AACICGQCGO	Circ(19;2.7)
RQGOOIAOP@QAQAH@AOOQA@GIAOQAOO	Circ(19;2.8)
RQGOOGA_U@KAKAE@@_OKA?oI@_Q@_O	Circ(19;2.9)
RCp`_oK@_E?K?K?E?@c?Ko?p_@`_@_	Circ(19;3.4)
RCQa`OSA_I?S?S?IOAa?Sg@POA`OA_	Circ(19;3.5)
RCO_cPCG_a@C`COaCG_`CaCPCG`CG_	Circ(19;3.7)
RCO__OC_eAKCKCEA@__KC_oP@_`@__	Circ(19;3.9)
R?bB@_WB?K?W?W?KOBE?WW@_oB?oB?	Circ(19;4.5)
R?`DA_gD?S?g?g_SGDD?gSA_gD?gD?	Circ(19;4.6)
R?`@C`GH?c@G`GOcCHC`GQC_cH?cH?	Circ(19;4.7)
R?`@?_G`ECKGKGEC@`CKGOo_``?``?	Circ(19;4.9)
R?AEB?oE?W?o?o_WWEB?oKB?WE?WE?	Circ(19;5.6)
R?AA@AOQ@GQOQOHGQQAQOHH?QQ?QQ?	Circ(19;5.8)
R??CAA_S@OQ_Q_hOIS@Q_DI?IS?IS?	Circ(19;6.8)
R??CA?_cEOK_K_eOHc@K_Cq?Hc?Hc?	Circ(19;6.9)
R???CB?W@_R?r?X_EW?r?BK?EW?EW?	Circ(19;7.8)
R???C@?gE_L?l?U_Dg?l?As?Dg?Dg?	Circ(19;7.9)
RlUihSTAgI_T?T?IoAi?Tg@TOAlOAg	Circ(19;1.3.5)
RlSgkTDGga`D`DOacGg`DaCTCGlCGg	Circ(19;1.3.7)
RhdLIchDGS_h?h_SgDL?hSAcgDKgDG	Circ(19;1.4.6)
RhdHKdHHGc`H`HOccHK`HQCccHKcHG	Circ(19;1.4.7)
RhEIHEPQHGqPQPHGqQIQPHHCQQKQQG	Circ(19;1.5.8)
RhCKIE`SHOq`Q`hOiSHQ`DICISKISG	Circ(19;1.6.8)
RUWosXEGob@E`EObCGo`EaCZCGrCGo	Circ(19;2.3.7)
RUWooWE_uBKEKEEB@_oKE_oZ@_r@_o	Circ(19;2.3.9)
RQIURGqEOX?q?q_XWER?qKBIWEQWEO	Circ(19;2.5.6)
RQIQPIQQPHQQQQHHQQQQQHHIQQQQQO	Circ(19;2.5.8)
RQGSQGacUPKaKaePHcPKaCqIHcQHcO	Circ(19;2.6.9)
RQGOSJAWP`RArAX`EWOrABKIEWQEWO	Circ(19;2.7.8)
RCrb`o[B_M?[?[?MOBe?[w@poB`oB_	Circ(19;3.4.5)
RCp`_oK`eEKKKKEE@`cKKoop`````_	Circ(19;3.4.9)
R?bFB_wF?[?w?w_[WFF?w[B_wF?wF?	Circ(19;4.5.6)
R?`@C`GhEcLGlGUcDhClGQs_dh?dh?	Circ(19;4.7.9)
R??CAA_sFO]_]_nOJs@]_Dy?Js?Js?	Circ(19;6.8.9)
R???CB?wF_^?~?^_Fw?~?B{?Fw?Fw?	Circ(19;7.8.9)
SlSggSD?gA_D?D?A_?g?D??U??i??l??S	Circ(20;1.3)
ShdHGcH@GC_H?H?C_@G?H_?d?@H?@K_?c	Circ(20;1.4)
ShEIHCPAGG_P?P?G_AK?PO@C_AG_AKO@C	Circ(20;1.5)
ShCKIC`CGO_`?`?OoCI?`GACOCGOCKGAC	Circ(20;1.6)
ShCGKD@GG_`@@@__gGH@@CCCGGGGGKCCC	Circ(20;1.7)
ShCGGE@OH?a@a@P?cOGa@AGCCOGCOKAGC	Circ(20;1.8)
ShCGGC@_I?s@S@I?a_GS@@OCA_GA_K@OC	Circ(20;1.9)
SUWooWE?oB?E?E?B??o?E??Y??u??r??W	Circ(20;2.3)
SQIQPGQAOH?Q?Q?H?AS?QO@G_AS_AQO@G	Circ(20;2.5)
SQGSQGaCOP?a?a?POCQ?aGAGOCSOCQGAG	Circ(20;2.6)
SQGOSHAGO`@A@A_`GGP@ACCGGGSGGQCCG	Circ(20;2.7)
SQGOOIAOP@AAaAP@COOaAAGGCOSCOQAGG	Circ(20;2.8)
SCp`_oK@_E?K?K?E?@_?K_?r?@b?@`_?o	Circ(20;3.4)
SCQa`OSA_I?S?S?I?Ac?SO@Q_Aa_A`O@O	Circ(20;3.5)
SCO_cPCG_a@C@C_aGG`@CCCQGGaGG`CCO	Circ(20;3.7)
SCO__QCO`AACaCPACO_aCAGQCOaCO`AGO	Circ(20;3.8)
SCO__OC_aASCSCIAA__SC@OQA_aA_`@OO	Circ(20;3.9)
S?bB@_WB?K?W?W?K?BC?Wo@`_B@_B?o@_	Circ(20;4.5)
S?`DA_gD?S?g?g?SODA?ggA`OD@OD?gA_	Circ(20;4.6)
S?`@C`GH?c@G@G_cGH@@GcC`GH@GH?cC_	Circ(20;4.7)
S?`@?_G`ACSGSGICA`?SG`O`A`@A`?`O_	Circ(20;4.9)
S?AEB?oE?W?o?o?WOEE?oWB?oE?oE?WB?	Circ(20;5.6)
S?AAD@OI?g@O@O_gGID@OSD?gI?gI?SD?	Circ(20;5.7)
S?AA@AOQ@GAOaOPGCQCaOQH?cQ?cQ?QH?	Circ(20;5.8)
S?AA@?OaAGSOSOIGAaCSOPP?aa?aa?PP?	Circ(20;5.9)
S??CA?_cAOS_S_IOQcAS_HQ?Qc?Qc?HQ?	Circ(20;6.9)
S???CB?W@_B?b?p_KW@b?EK?KW?KW?EK?	Circ(20;7.8)
S???C@?gA_T?T?i_Ig@T?DS?Ig?Ig?DS?	Circ(20;7.9)
S????A?oB?U?u?Z?Eo?u?BW?Eo?Eo?BW?	Circ(20;8.9)
SlUihSTAgI_T?T?I_Ak?TO@U_Ai_AlO@S	Circ(20;1.3.5)
SlSgkTDGga`D@D_agGh@DCCUGGiGGlCCS	Circ(20;1.3.7)
SlSggUDOhAaDaDPAcOgaDAGUCOiCOlAGS	Circ(20;1.3.8)
SlSggSD_iAsDSDIAa_gSD@OUA_iA_l@OS	Circ(20;1.3.9)
SlSggSD?kAgDGDCA`?gGD?_U@?i@?l?_S	Circ(20;1.3.10)
ShdLIchDGS_h?h?SoDI?hgAdODHODKgAc	Circ(20;1.4.6)
ShdHKdHHGc`H@H_cgHH@HcCdGHHGHKcCc	Circ(20;1.4.7)
ShdHGcH`ICsHSHICa`GSH`OdA`HA`K`Oc	Circ(20;1.4.9)
ShdHGcH@KCgHGHCC`@GGH__d@@H@@K__c	Circ(20;1.4.10)
ShEILDPIGg`P@P_ggIL@PSDCgIGgIKSDC	Circ(20;1.5.7)
ShEIHEPQHGaPaPPGcQKaPQHCcQGcQKQHC	Circ(20;1.5.8)
ShEIHCPaIGsPSPIGaaKSPPPCaaGaaKPPC	Circ(20;1.5.9)
ShCKIC`cIOs`S`IOqcIS`HQCQcGQcKHQC	Circ(20;1.6.9)
ShCKIC`CKOg`G`COpCIG`GaCPCGPCKGaC	Circ(20;1.6.10)
ShCGKD@gI_t@T@i_igHT@DSCIgGIgKDSC	Circ(20;1.7.9)
ShCGKD@GK_h@H@c_hGHH@CcCHGGHGKCcC	Circ(20;1.7.10)
ShCGGE@OL?i@i@T?dOGi@AgCDOGDOKAgC	Circ(20;1.8.10)
SUWosXEGob@E@E_bGGp@ECCYGGuGGrCCW	Circ(20;2.3.7)
SUWooYEOpBAEaEPBCOoaEAGYCOuCOrAGW	Circ(20;2.3.8)
SUWooWE?sBGEGECB@?oGE?_Y@?u@?r?_W	Circ(20;2.3.10)
SQIURGqEOX?q?q?XOEU?qWBGoESoEQWBG	Circ(20;2.5.6)
SQIQPIQQPHAQaQPHCQSaQQHGcQScQQQHG	Circ(20;2.5.8)
SQGSQGaCSPGaGaCPPCQGaGaGPCSPCQGaG	Circ(20;2.6.10)
SQGOSJAWP`BAbAp`KWPbAEKGKWSKWQEKG	Circ(20;2.7.8)
SQGOSHAGS`HAHAc`HGPHACcGHGSHGQCcG	Circ(20;2.7.10)
SCrb`o[B_M?[?[?M?Bc?[o@r_Bb_B`o@o	Circ(20;3.4.5)
SCp`_oK`aESKSKIEA`_SK`OrA`bA```Oo	Circ(20;3.4.9)
SCp`_oK@cEGKGKCE@@_GK__r@@b@@`__o	Circ(20;3.4.10)
SCQadPSI_i@S@S_iGId@SSDQgIagI`SDO	Circ(20;3.5.7)
SCQa`OSaaISSSSIIAacSSPPQaaaaa`PPO	Circ(20;3.5.9)
SCO_cRCW`aBCbCpaKW`bCEKQKWaKW`EKO	Circ(20;3.7.8)
SCO_cPCgaaTCTCiaIg`TCDSQIgaIg`DSO	Circ(20;3.7.9)
SCO__QCOdAICiCTADO_iCAgQDOaDO`AgO	Circ(20;3.8.10)
SCO__OC_eA[C[CMAB__[C@oQB_aB_`@oO	Circ(20;3.9.10)
S?bFB_wF?[?w?w?[OFE?wwB`oF@oF?wB_	Circ(20;4.5.6)
S?bBD`WJ?k@W@W_kGJD@WsD`gJ@gJ?sD_	Circ(20;4.5.7)
S?`DA_gdASSgSgISQdASghQ`Qd@Qd?hQ_	Circ(20;4.6.9)
S?`@C`GHCcHGHGccHH@HGcc`HH@HH?cc_	Circ(20;4.7.10)
S?`@?_G`EC[G[GMCB`?[G`o`B`@B`?`o_	Circ(20;4.9.10)
S?AAD@OiAgTOTOigIiDTOTT?ii?ii?TT?	Circ(20;5.7.9)
S?AA@AOqBGUOuOZGEqCuORX?eq?eq?RX?	Circ(20;5.8.9)
S??CA?_cEO[_[_MORcA[_Hq?Rc?Rc?Hq?	Circ(20;6.9.10)
S???CB?wB_V?v?z_Mw@v?F[?Mw?Mw?F[?	Circ(20;7.8.9)
S???CB?WD_J?j?t_LW@j?Ek?LW?LW?Ek?	Circ(20;7.8.10)
S???C@?gE_\?\?m_Jg@\?Ds?Jg?Jg?Ds?	Circ(20;7.9.10)
S????A?oF?]?}?^?Fo?}?Bw?Fo?Fo?Bw?	Circ(20;8.9.10)
SlUilTTIgi`T@T_igIl@TSDUgIigIlSDS	Circ(20;1.3.5.7)
SlUihSTaiIsTSTIIaakSTPPUaaiaalPPS	Circ(20;1.3.5.9)
SlSgkTDgiatDTDiaighTDDSUIgiIglDSS	Circ(20;1.3.7.9)
SlSggUDOlAiDiDTAdOgiDAgUDOiDOlAgS	Circ(20;1.3.8.10)
ShdLIchdISshShISqdIShhQdQdHQdKhQc	Circ(20;1.4.6.9)
ShEILDPiIgtPTPigiiLTPTTCiiGiiKTTC	Circ(20;1.5.7.9)
SUWosZEWpbBEbEpbKWpbEEKYKWuKWrEKW	Circ(20;2.3.7.8)
SCp`_oK`eE[K[KMEB`_[K`orB`bB```oo	Circ(20;3.4.9.10)
SCQadPSiaiTSTSiiIidTSTTQiiaii`TTO	Circ(20;3.5.7.9)
S???CB?wF_^?~?~_Nw@~?F{?Nw?Nw?F{?	Circ(20;7.8.9.10)
TlSggSD?gA_D?D?A_?g?D??S??k??i??U_?D	Circ(21;1.3)
ThdHGcH@GC_H?H?C_@G?H??e?@I?@H??eO?H	Circ(21;1.4)
ThEIHCPAGG_P?P?G_AG?P_@D?AH?AG_@EG?P	Circ(21;1.5)
ThCKIC`CGO_`?`?O_CK?`OAC_CG_CGOAEC?`	Circ(21;1.6)
ThCGGE@OH?a@A@`?gOHA@CGCGOGGOGCGE@A@	Circ(21;1.8)
ThCGGC@_I?c@c@Q?c_Gc@AOCC_GC_GAOE?c@	Circ(21;1.9)
TUWooWE?oB?E?E?B??o?E??W??s??u??X_?E	Circ(21;2.3)
TQIQPGQAOH?Q?Q?H?AO?Q_@H?AP?AS_@HG?Q	Circ(21;2.5)
TQGSQGaCOP?a?a?P?CS?aOAG_CO_CSOAHC?a	Circ(21;2.6)
TQGOOIAOP@AAAA`@GOPAACGGGOOGOSCGH@AA	Circ(21;2.8)
TQGOOGA_Q@CAcAQ@C_OcAAOGC_OC_SAOH?cA	Circ(21;2.9)
TQGOOGA?S@WAWAK@B?OWA@_GB?OB?S@_H?WA	Circ(21;2.10)
TCp`_oK@_E?K?K?E?@_?K??q?@e?@b??oo?K	Circ(21;3.4)
TCQa`OSA_I?S?S?I?A_?S_@P?Ad?Aa_@Og?S	Circ(21;3.5)
TCO__QCO`AACAC`AGO`ACCGOGOcGOaCGO`AC	Circ(21;3.8)
TCO__OC?cAWCWCKAB?_WC@_OB?cB?a@_O_WC	Circ(21;3.10)
T?bB@_WB?K?W?W?K?B??W_@b?BB?B@_@_W?W	Circ(21;4.5)
T?`DA_gD?S?g?g?S?DC?gOAa_DA_D@OA_S?g	Circ(21;4.6)
T?`@?_G`ACCGcGQCC`?cGAOaC`AC`@AO_OcG	Circ(21;4.9)
T?`@?_G@CCWGWGKCB@?WG@_aB@AB@@@__OWG	Circ(21;4.10)
T?AEB?oE?W?o?o?W?EC?ooB@_E@_E?oB?K?o	Circ(21;5.6)
T?AA@?OaAGCOcOQGCa?cOaP@Ca@Ca?aP?GcO	Circ(21;5.9)
T??CAA_S@OA_A_`OGSDA_SI?gS?gS?SI?DA_	Circ(21;6.8)
T??CA?_CCOW_W_KOBCCW_Pa?bC?bC?Pa?CW_	Circ(21;6.10)
T????A?oB?E?e?r?Ko@e?EW?Ko?Ko?EW?@e?	Circ(21;8.9)
T????A?OD?Y?Y?l?JO@Y?Dg?JO?JO?Dg?@Y?	Circ(21;8.10)
TlUihSTAgI_T?T?I_Ag?T_@T?Al?Ai_@Ug?T	Circ(21;1.3.5)
TlSggUDOhAaDAD`AgOhADCGSGOkGOiCGU`AD	Circ(21;1.3.8)
ThdLIchDGS_h?h?S_DK?hOAe_DI_DHOAeS?h	Circ(21;1.4.6)
ThdHGcH`ICcHcHQCc`GcHAOeC`IC`HAOeOcH	Circ(21;1.4.9)
ThEIHCPaIGcPcPQGcaGcPaPDCaHCaGaPEGcP	Circ(21;1.5.9)
ThCKIE`SHOa`A``OgSLA`SICgSGgSGSIEDA`	Circ(21;1.6.8)
TUWooYEOpBAEAE`BGOpAECGWGOsGOuCGX`AE	Circ(21;2.3.8)
