4 76
Z4xZ19
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10
31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11
32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12
33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13
34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19
40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20
41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21
42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22
43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23
44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24
45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25
46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26
47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27
48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28
49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29
50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30
51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31
52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32
53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38
59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39
60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40
61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41
62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42
63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43
64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44
65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45
66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46
67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47
68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48
69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49
70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50
71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51
72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
74 75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
75 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 56 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
Z2xZ2xZ19
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60
5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 43 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 62 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61
6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 44 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 63 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62
7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 45 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 64 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63
8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 46 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 65 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64
9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 47 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 66 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65
10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 48 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 67 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66
11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 49 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 68 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67
12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 50 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 69 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68
13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 51 52 53 54 55 56 38 39 40 41 42 43 44 45 46 47 48 49 50 70 71 72 73 74 75 57 58 59 60 61 62 63 64 65 66 67 68 69
