6 42
Z2xZ3xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
15 16 17 18 19 20 14 1 2 3 4 5 6 0 8 9 10 11 12 13 7 36 37 38 39 40 41 35 22 23 24 25 26 27 21 29 30 31 32 33 34 28
16 17 18 19 20 14 15 2 3 4 5 6 0 1 9 10 11 12 13 7 8 37 38 39 40 41 35 36 23 24 25 26 27 21 22 30 31 32 33 34 28 29
17 18 19 20 14 15 16 3 4 5 6 0 1 2 10 11 12 13 7 8 9 38 39 40 41 35 36 37 24 25 26 27 21 22 23 31 32 33 34 28 29 30
18 19 20 14 15 16 17 4 5 6 0 1 2 3 11 12 13 7 8 9 10 39 40 41 35 36 37 38 25 26 27 21 22 23 24 32 33 34 28 29 30 31
19 20 14 15 16 17 18 5 6 0 1 2 3 4 12 13 7 8 9 10 11 40 41 35 36 37 38 39 26 27 21 22 23 24 25 33 34 28 29 30 31 32
20 14 15 16 17 18 19 6 0 1 2 3 4 5 13 7 8 9 10 11 12 41 35 36 37 38 39 40 27 21 22 23 24 25 26 34 28 29 30 31 32 33
21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
22 23 24 25 26 27 21 29 30 31 32 33 34 28 36 37 38 39 40 41 35 1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14
23 24 25 26 27 21 22 30 31 32 33 34 28 29 37 38 39 40 41 35 36 2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15
24 25 26 27 21 22 23 31 32 33 34 28 29 30 38 39 40 41 35 36 37 3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16
25 26 27 21 22 23 24 32 33 34 28 29 30 31 39 40 41 35 36 37 38 4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17
26 27 21 22 23 24 25 33 34 28 29 30 31 32 40 41 35 36 37 38 39 5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18
27 21 22 23 24 25 26 34 28 29 30 31 32 33 41 35 36 37 38 39 40 6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19
28 29 30 31 32 33 34 35 36 37 38 39 40 41 21 22 23 24 25 26 27 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 1 2 3 4 5 6
29 30 31 32 33 34 28 36 37 38 39 40 41 35 22 23 24 25 26 27 21 8 9 10 11 12 13 7 15 16 17 18 19 20 14 1 2 3 4 5 6 0
30 31 32 33 34 28 29 37 38 39 40 41 35 36 23 24 25 26 27 21 22 9 10 11 12 13 7 8 16 17 18 19 20 14 15 2 3 4 5 6 0 1
31 32 33 34 28 29 30 38 39 40 41 35 36 37 24 25 26 27 21 22 23 10 11 12 13 7 8 9 17 18 19 20 14 15 16 3 4 5 6 0 1 2
32 33 34 28 29 30 31 39 40 41 35 36 37 38 25 26 27 21 22 23 24 11 12 13 7 8 9 10 18 19 20 14 15 16 17 4 5 6 0 1 2 3
33 34 28 29 30 31 32 40 41 35 36 37 38 39 26 27 21 22 23 24 25 12 13 7 8 9 10 11 19 20 14 15 16 17 18 5 6 0 1 2 3 4
34 28 29 30 31 32 33 41 35 36 37 38 39 40 27 21 22 23 24 25 26 13 7 8 9 10 11 12 20 14 15 16 17 18 19 6 0 1 2 3 4 5
35 36 37 38 39 40 41 21 22 23 24 25 26 27 28 29 30 31 32 33 34 14 15 16 17 18 19 20 0 1 2 3 4 5 6 7 8 9 10 11 12 13
36 37 38 39 40 41 35 22 23 24 25 26 27 21 29 30 31 32 33 34 28 15 16 17 18 19 20 14 1 2 3 4 5 6 0 8 9 10 11 12 13 7
37 38 39 40 41 35 36 23 24 25 26 27 21 22 30 31 32 33 34 28 29 16 17 18 19 20 14 15 2 3 4 5 6 0 1 9 10 11 12 13 7 8
38 39 40 41 35 36 37 24 25 26 27 21 22 23 31 32 33 34 28 29 30 17 18 19 20 14 15 16 3 4 5 6 0 1 2 10 11 12 13 7 8 9
39 40 41 35 36 37 38 25 26 27 21 22 23 24 32 33 34 28 29 30 31 18 19 20 14 15 16 17 4 5 6 0 1 2 3 11 12 13 7 8 9 10
40 41 35 36 37 38 39 26 27 21 22 23 24 25 33 34 28 29 30 31 32 19 20 14 15 16 17 18 5 6 0 1 2 3 4 12 13 7 8 9 10 11
41 35 36 37 38 39 40 27 21 22 23 24 25 26 34 28 29 30 31 32 33 20 14 15 16 17 18 19 6 0 1 2 3 4 5 13 7 8 9 10 11 12
D42
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1
3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3
5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5
7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32 31 30
30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34 33 32
32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36 35 34
34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38 37 36
36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40 39 38
38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 41 40
40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Z3:Z2xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28 36 37 38 39 40 41 35
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29 37 38 39 40 41 35 36
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30 38 39 40 41 35 36 37
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31 39 40 41 35 36 37 38
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32 40 41 35 36 37 38 39
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33 41 35 36 37 38 39 40
7 8 9 10 11 12 13 0 1 2 3 4 5 6 35 36 37 38 39 40 41 28 29 30 31 32 33 34 21 22 23 24 25 26 27 14 15 16 17 18 19 20
8 9 10 11 12 13 7 1 2 3 4 5 6 0 36 37 38 39 40 41 35 29 30 31 32 33 34 28 22 23 24 25 26 27 21 15 16 17 18 19 20 14
9 10 11 12 13 7 8 2 3 4 5 6 0 1 37 38 39 40 41 35 36 30 31 32 33 34 28 29 23 24 25 26 27 21 22 16 17 18 19 20 14 15
10 11 12 13 7 8 9 3 4 5 6 0 1 2 38 39 40 41 35 36 37 31 32 33 34 28 29 30 24 25 26 27 21 22 23 17 18 19 20 14 15 16
11 12 13 7 8 9 10 4 5 6 0 1 2 3 39 40 41 35 36 37 38 32 33 34 28 29 30 31 25 26 27 21 22 23 24 18 19 20 14 15 16 17
12 13 7 8 9 10 11 5 6 0 1 2 3 4 40 41 35 36 37 38 39 33 34 28 29 30 31 32 26 27 21 22 23 24 25 19 20 14 15 16 17 18
13 7 8 9 10 11 12 6 0 1 2 3 4 5 41 35 36 37 38 39 40 34 28 29 30 31 32 33 27 21 22 23 24 25 26 20 14 15 16 17 18 19
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28 36 37 38 39 40 41 35 1 2 3 4 5 6 0 8 9 10 11 12 13 7
16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29 37 38 39 40 41 35 36 2 3 4 5 6 0 1 9 10 11 12 13 7 8
17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30 38 39 40 41 35 36 37 3 4 5 6 0 1 2 10 11 12 13 7 8 9
18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31 39 40 41 35 36 37 38 4 5 6 0 1 2 3 11 12 13 7 8 9 10
19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32 40 41 35 36 37 38 39 5 6 0 1 2 3 4 12 13 7 8 9 10 11
20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33 41 35 36 37 38 39 40 6 0 1 2 3 4 5 13 7 8 9 10 11 12
21 22 23 24 25 26 27 14 15 16 17 18 19 20 7 8 9 10 11 12 13 0 1 2 3 4 5 6 35 36 37 38 39 40 41 28 29 30 31 32 33 34
22 23 24 25 26 27 21 15 16 17 18 19 20 14 8 9 10 11 12 13 7 1 2 3 4 5 6 0 36 37 38 39 40 41 35 29 30 31 32 33 34 28
23 24 25 26 27 21 22 16 17 18 19 20 14 15 9 10 11 12 13 7 8 2 3 4 5 6 0 1 37 38 39 40 41 35 36 30 31 32 33 34 28 29
24 25 26 27 21 22 23 17 18 19 20 14 15 16 10 11 12 13 7 8 9 3 4 5 6 0 1 2 38 39 40 41 35 36 37 31 32 33 34 28 29 30
25 26 27 21 22 23 24 18 19 20 14 15 16 17 11 12 13 7 8 9 10 4 5 6 0 1 2 3 39 40 41 35 36 37 38 32 33 34 28 29 30 31
26 27 21 22 23 24 25 19 20 14 15 16 17 18 12 13 7 8 9 10 11 5 6 0 1 2 3 4 40 41 35 36 37 38 39 33 34 28 29 30 31 32
27 21 22 23 24 25 26 20 14 15 16 17 18 19 13 7 8 9 10 11 12 6 0 1 2 3 4 5 41 35 36 37 38 39 40 34 28 29 30 31 32 33
28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 30 31 32 33 34 28 36 37 38 39 40 41 35 1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21
30 31 32 33 34 28 29 37 38 39 40 41 35 36 2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22
31 32 33 34 28 29 30 38 39 40 41 35 36 37 3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23
32 33 34 28 29 30 31 39 40 41 35 36 37 38 4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24
33 34 28 29 30 31 32 40 41 35 36 37 38 39 5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25
34 28 29 30 31 32 33 41 35 36 37 38 39 40 6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26
35 36 37 38 39 40 41 28 29 30 31 32 33 34 21 22 23 24 25 26 27 14 15 16 17 18 19 20 7 8 9 10 11 12 13 0 1 2 3 4 5 6
36 37 38 39 40 41 35 29 30 31 32 33 34 28 22 23 24 25 26 27 21 15 16 17 18 19 20 14 8 9 10 11 12 13 7 1 2 3 4 5 6 0
37 38 39 40 41 35 36 30 31 32 33 34 28 29 23 24 25 26 27 21 22 16 17 18 19 20 14 15 9 10 11 12 13 7 8 2 3 4 5 6 0 1
38 39 40 41 35 36 37 31 32 33 34 28 29 30 24 25 26 27 21 22 23 17 18 19 20 14 15 16 10 11 12 13 7 8 9 3 4 5 6 0 1 2
39 40 41 35 36 37 38 32 33 34 28 29 30 31 25 26 27 21 22 23 24 18 19 20 14 15 16 17 11 12 13 7 8 9 10 4 5 6 0 1 2 3
40 41 35 36 37 38 39 33 34 28 29 30 31 32 26 27 21 22 23 24 25 19 20 14 15 16 17 18 12 13 7 8 9 10 11 5 6 0 1 2 3 4
41 35 36 37 38 39 40 34 28 29 30 31 32 33 27 21 22 23 24 25 26 20 14 15 16 17 18 19 13 7 8 9 10 11 12 6 0 1 2 3 4 5
Z3:D14
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 0 13 12 11 10 9 8 7 6 5 4 3 2 15 14 27 26 25 24 23 22 21 20 19 18 17 16 29 28 41 40 39 38 37 36 35 34 33 32 31 30
2 3 4 5 6 7 8 9 10 11 12 13 0 1 16 17 18 19 20 21 22 23 24 25 26 27 14 15 30 31 32 33 34 35 36 37 38 39 40 41 28 29
3 2 1 0 13 12 11 10 9 8 7 6 5 4 17 16 15 14 27 26 25 24 23 22 21 20 19 18 31 30 29 28 41 40 39 38 37 36 35 34 33 32
4 5 6 7 8 9 10 11 12 13 0 1 2 3 18 19 20 21 22 23 24 25 26 27 14 15 16 17 32 33 34 35 36 37 38 39 40 41 28 29 30 31
5 4 3 2 1 0 13 12 11 10 9 8 7 6 19 18 17 16 15 14 27 26 25 24 23 22 21 20 33 32 31 30 29 28 41 40 39 38 37 36 35 34
6 7 8 9 10 11 12 13 0 1 2 3 4 5 20 21 22 23 24 25 26 27 14 15 16 17 18 19 34 35 36 37 38 39 40 41 28 29 30 31 32 33
7 6 5 4 3 2 1 0 13 12 11 10 9 8 21 20 19 18 17 16 15 14 27 26 25 24 23 22 35 34 33 32 31 30 29 28 41 40 39 38 37 36
8 9 10 11 12 13 0 1 2 3 4 5 6 7 22 23 24 25 26 27 14 15 16 17 18 19 20 21 36 37 38 39 40 41 28 29 30 31 32 33 34 35
9 8 7 6 5 4 3 2 1 0 13 12 11 10 23 22 21 20 19 18 17 16 15 14 27 26 25 24 37 36 35 34 33 32 31 30 29 28 41 40 39 38
10 11 12 13 0 1 2 3 4 5 6 7 8 9 24 25 26 27 14 15 16 17 18 19 20 21 22 23 38 39 40 41 28 29 30 31 32 33 34 35 36 37
11 10 9 8 7 6 5 4 3 2 1 0 13 12 25 24 23 22 21 20 19 18 17 16 15 14 27 26 39 38 37 36 35 34 33 32 31 30 29 28 41 40
12 13 0 1 2 3 4 5 6 7 8 9 10 11 26 27 14 15 16 17 18 19 20 21 22 23 24 25 40 41 28 29 30 31 32 33 34 35 36 37 38 39
13 12 11 10 9 8 7 6 5 4 3 2 1 0 27 26 25 24 23 22 21 20 19 18 17 16 15 14 41 40 39 38 37 36 35 34 33 32 31 30 29 28
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 27 26 25 24 23 22 21 20 19 18 17 16 29 28 41 40 39 38 37 36 35 34 33 32 31 30 1 0 13 12 11 10 9 8 7 6 5 4 3 2
16 17 18 19 20 21 22 23 24 25 26 27 14 15 30 31 32 33 34 35 36 37 38 39 40 41 28 29 2 3 4 5 6 7 8 9 10 11 12 13 0 1
17 16 15 14 27 26 25 24 23 22 21 20 19 18 31 30 29 28 41 40 39 38 37 36 35 34 33 32 3 2 1 0 13 12 11 10 9 8 7 6 5 4
18 19 20 21 22 23 24 25 26 27 14 15 16 17 32 33 34 35 36 37 38 39 40 41 28 29 30 31 4 5 6 7 8 9 10 11 12 13 0 1 2 3
19 18 17 16 15 14 27 26 25 24 23 22 21 20 33 32 31 30 29 28 41 40 39 38 37 36 35 34 5 4 3 2 1 0 13 12 11 10 9 8 7 6
20 21 22 23 24 25 26 27 14 15 16 17 18 19 34 35 36 37 38 39 40 41 28 29 30 31 32 33 6 7 8 9 10 11 12 13 0 1 2 3 4 5
21 20 19 18 17 16 15 14 27 26 25 24 23 22 35 34 33 32 31 30 29 28 41 40 39 38 37 36 7 6 5 4 3 2 1 0 13 12 11 10 9 8
22 23 24 25 26 27 14 15 16 17 18 19 20 21 36 37 38 39 40 41 28 29 30 31 32 33 34 35 8 9 10 11 12 13 0 1 2 3 4 5 6 7
23 22 21 20 19 18 17 16 15 14 27 26 25 24 37 36 35 34 33 32 31 30 29 28 41 40 39 38 9 8 7 6 5 4 3 2 1 0 13 12 11 10
24 25 26 27 14 15 16 17 18 19 20 21 22 23 38 39 40 41 28 29 30 31 32 33 34 35 36 37 10 11 12 13 0 1 2 3 4 5 6 7 8 9
25 24 23 22 21 20 19 18 17 16 15 14 27 26 39 38 37 36 35 34 33 32 31 30 29 28 41 40 11 10 9 8 7 6 5 4 3 2 1 0 13 12
26 27 14 15 16 17 18 19 20 21 22 23 24 25 40 41 28 29 30 31 32 33 34 35 36 37 38 39 12 13 0 1 2 3 4 5 6 7 8 9 10 11
27 26 25 24 23 22 21 20 19 18 17 16 15 14 41 40 39 38 37 36 35 34 33 32 31 30 29 28 13 12 11 10 9 8 7 6 5 4 3 2 1 0
28 29 30 31 32 33 34 35 36 37 38 39 40 41 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 41 40 39 38 37 36 35 34 33 32 31 30 1 0 13 12 11 10 9 8 7 6 5 4 3 2 15 14 27 26 25 24 23 22 21 20 19 18 17 16
30 31 32 33 34 35 36 37 38 39 40 41 28 29 2 3 4 5 6 7 8 9 10 11 12 13 0 1 16 17 18 19 20 21 22 23 24 25 26 27 14 15
31 30 29 28 41 40 39 38 37 36 35 34 33 32 3 2 1 0 13 12 11 10 9 8 7 6 5 4 17 16 15 14 27 26 25 24 23 22 21 20 19 18
32 33 34 35 36 37 38 39 40 41 28 29 30 31 4 5 6 7 8 9 10 11 12 13 0 1 2 3 18 19 20 21 22 23 24 25 26 27 14 15 16 17
33 32 31 30 29 28 41 40 39 38 37 36 35 34 5 4 3 2 1 0 13 12 11 10 9 8 7 6 19 18 17 16 15 14 27 26 25 24 23 22 21 20
34 35 36 37 38 39 40 41 28 29 30 31 32 33 6 7 8 9 10 11 12 13 0 1 2 3 4 5 20 21 22 23 24 25 26 27 14 15 16 17 18 19
35 34 33 32 31 30 29 28 41 40 39 38 37 36 7 6 5 4 3 2 1 0 13 12 11 10 9 8 21 20 19 18 17 16 15 14 27 26 25 24 23 22
36 37 38 39 40 41 28 29 30 31 32 33 34 35 8 9 10 11 12 13 0 1 2 3 4 5 6 7 22 23 24 25 26 27 14 15 16 17 18 19 20 21
37 36 35 34 33 32 31 30 29 28 41 40 39 38 9 8 7 6 5 4 3 2 1 0 13 12 11 10 23 22 21 20 19 18 17 16 15 14 27 26 25 24
38 39 40 41 28 29 30 31 32 33 34 35 36 37 10 11 12 13 0 1 2 3 4 5 6 7 8 9 24 25 26 27 14 15 16 17 18 19 20 21 22 23
