4 44
Z4xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10
12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33 1 2 3 4 5 6 7 8 9 10 0
13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34 2 3 4 5 6 7 8 9 10 0 1
14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35 3 4 5 6 7 8 9 10 0 1 2
15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36 4 5 6 7 8 9 10 0 1 2 3
16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37 5 6 7 8 9 10 0 1 2 3 4
17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38 6 7 8 9 10 0 1 2 3 4 5
18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39 7 8 9 10 0 1 2 3 4 5 6
19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40 8 9 10 0 1 2 3 4 5 6 7
20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41 9 10 0 1 2 3 4 5 6 7 8
21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42 10 0 1 2 3 4 5 6 7 8 9
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33 1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11
24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34 2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12
25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35 3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13
26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36 4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14
27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37 5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15
28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38 6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16
29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39 7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17
30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40 8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18
31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41 9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19
32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42 10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20
33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
34 35 36 37 38 39 40 41 42 43 33 1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22
35 36 37 38 39 40 41 42 43 33 34 2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23
36 37 38 39 40 41 42 43 33 34 35 3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24
37 38 39 40 41 42 43 33 34 35 36 4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25
38 39 40 41 42 43 33 34 35 36 37 5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26
39 40 41 42 43 33 34 35 36 37 38 6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27
40 41 42 43 33 34 35 36 37 38 39 7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28
41 42 43 33 34 35 36 37 38 39 40 8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29
42 43 33 34 35 36 37 38 39 40 41 9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30
43 33 34 35 36 37 38 39 40 41 42 10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31
Z2xZ2xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33
2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34
3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35
4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36
5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37
6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38
7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39
8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40
9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41
10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42
11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10 33 34 35 36 37 38 39 40 41 42 43 22 23 24 25 26 27 28 29 30 31 32
12 13 14 15 16 17 18 19 20 21 11 1 2 3 4 5 6 7 8 9 10 0 34 35 36 37 38 39 40 41 42 43 33 23 24 25 26 27 28 29 30 31 32 22
13 14 15 16 17 18 19 20 21 11 12 2 3 4 5 6 7 8 9 10 0 1 35 36 37 38 39 40 41 42 43 33 34 24 25 26 27 28 29 30 31 32 22 23
14 15 16 17 18 19 20 21 11 12 13 3 4 5 6 7 8 9 10 0 1 2 36 37 38 39 40 41 42 43 33 34 35 25 26 27 28 29 30 31 32 22 23 24
15 16 17 18 19 20 21 11 12 13 14 4 5 6 7 8 9 10 0 1 2 3 37 38 39 40 41 42 43 33 34 35 36 26 27 28 29 30 31 32 22 23 24 25
16 17 18 19 20 21 11 12 13 14 15 5 6 7 8 9 10 0 1 2 3 4 38 39 40 41 42 43 33 34 35 36 37 27 28 29 30 31 32 22 23 24 25 26
17 18 19 20 21 11 12 13 14 15 16 6 7 8 9 10 0 1 2 3 4 5 39 40 41 42 43 33 34 35 36 37 38 28 29 30 31 32 22 23 24 25 26 27
18 19 20 21 11 12 13 14 15 16 17 7 8 9 10 0 1 2 3 4 5 6 40 41 42 43 33 34 35 36 37 38 39 29 30 31 32 22 23 24 25 26 27 28
19 20 21 11 12 13 14 15 16 17 18 8 9 10 0 1 2 3 4 5 6 7 41 42 43 33 34 35 36 37 38 39 40 30 31 32 22 23 24 25 26 27 28 29
20 21 11 12 13 14 15 16 17 18 19 9 10 0 1 2 3 4 5 6 7 8 42 43 33 34 35 36 37 38 39 40 41 31 32 22 23 24 25 26 27 28 29 30
21 11 12 13 14 15 16 17 18 19 20 10 0 1 2 3 4 5 6 7 8 9 43 33 34 35 36 37 38 39 40 41 42 32 22 23 24 25 26 27 28 29 30 31
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33 1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11
24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34 2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12
25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35 3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13
26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36 4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14
27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37 5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15
28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38 6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16
29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39 7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17
30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40 8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18
31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41 9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19
32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42 10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20
33 34 35 36 37 38 39 40 41 42 43 22 23 24 25 26 27 28 29 30 31 32 11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10
34 35 36 37 38 39 40 41 42 43 33 23 24 25 26 27 28 29 30 31 32 22 12 13 14 15 16 17 18 19 20 21 11 1 2 3 4 5 6 7 8 9 10 0
35 36 37 38 39 40 41 42 43 33 34 24 25 26 27 28 29 30 31 32 22 23 13 14 15 16 17 18 19 20 21 11 12 2 3 4 5 6 7 8 9 10 0 1
36 37 38 39 40 41 42 43 33 34 35 25 26 27 28 29 30 31 32 22 23 24 14 15 16 17 18 19 20 21 11 12 13 3 4 5 6 7 8 9 10 0 1 2
37 38 39 40 41 42 43 33 34 35 36 26 27 28 29 30 31 32 22 23 24 25 15 16 17 18 19 20 21 11 12 13 14 4 5 6 7 8 9 10 0 1 2 3
38 39 40 41 42 43 33 34 35 36 37 27 28 29 30 31 32 22 23 24 25 26 16 17 18 19 20 21 11 12 13 14 15 5 6 7 8 9 10 0 1 2 3 4
39 40 41 42 43 33 34 35 36 37 38 28 29 30 31 32 22 23 24 25 26 27 17 18 19 20 21 11 12 13 14 15 16 6 7 8 9 10 0 1 2 3 4 5
40 41 42 43 33 34 35 36 37 38 39 29 30 31 32 22 23 24 25 26 27 28 18 19 20 21 11 12 13 14 15 16 17 7 8 9 10 0 1 2 3 4 5 6
41 42 43 33 34 35 36 37 38 39 40 30 31 32 22 23 24 25 26 27 28 29 19 20 21 11 12 13 14 15 16 17 18 8 9 10 0 1 2 3 4 5 6 7
42 43 33 34 35 36 37 38 39 40 41 31 32 22 23 24 25 26 27 28 29 30 20 21 11 12 13 14 15 16 17 18 19 9 10 0 1 2 3 4 5 6 7 8
43 33 34 35 36 37 38 39 40 41 42 32 22 23 24 25 26 27 28 29 30 31 21 11 12 13 14 15 16 17 18 19 20 10 0 1 2 3 4 5 6 7 8 9
D44
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1
3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3
5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5
7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32 31 30
30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34 33 32
32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36 35 34
34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38 37 36
36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40 39 38
38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42 41 40
40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 43 42
42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Dic11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1
3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3
5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5
7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7
9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34 11 32
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9
11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36 13 34
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11
13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38 15 36
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40 17 38
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42 19 40
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0 21 42
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2 23 0
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 0 21 42 19 40 17 38 15 36 13 34 11 32 9 30 7 28 5 26 3 24 1 22 43 20 41 18 39 16 37 14 35 12 33 10 31 8 29 6 27 4 25 2
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
