14 36
Z4xZ9
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24
29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25
30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20
31 32 30 34 35 33 28 29 27 4 5 3 7 8 6 1 2 0 13 14 12 16 17 15 10 11 9 22 23 21 25 26 24 19 20 18
32 30 31 35 33 34 29 27 28 5 3 4 8 6 7 2 0 1 14 12 13 17 15 16 11 9 10 23 21 22 26 24 25 20 18 19
33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23
34 35 33 28 29 27 31 32 30 7 8 6 1 2 0 4 5 3 16 17 15 10 11 9 13 14 12 25 26 24 19 20 18 22 23 21
35 33 34 29 27 28 32 30 31 8 6 7 2 0 1 5 3 4 17 15 16 11 9 10 14 12 13 26 24 25 20 18 19 23 21 22
Z2xZ2xZ9
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 3 4 5 6 7 8 0 10 11 12 13 14 15 16 17 9 19 20 21 22 23 24 25 26 18 28 29 30 31 32 33 34 35 27
2 3 4 5 6 7 8 0 1 11 12 13 14 15 16 17 9 10 20 21 22 23 24 25 26 18 19 29 30 31 32 33 34 35 27 28
3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29
4 5 6 7 8 0 1 2 3 13 14 15 16 17 9 10 11 12 22 23 24 25 26 18 19 20 21 31 32 33 34 35 27 28 29 30
5 6 7 8 0 1 2 3 4 14 15 16 17 9 10 11 12 13 23 24 25 26 18 19 20 21 22 32 33 34 35 27 28 29 30 31
6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32
7 8 0 1 2 3 4 5 6 16 17 9 10 11 12 13 14 15 25 26 18 19 20 21 22 23 24 34 35 27 28 29 30 31 32 33
8 0 1 2 3 4 5 6 7 17 9 10 11 12 13 14 15 16 26 18 19 20 21 22 23 24 25 35 27 28 29 30 31 32 33 34
9 10 11 12 13 14 15 16 17 0 1 2 3 4 5 6 7 8 27 28 29 30 31 32 33 34 35 18 19 20 21 22 23 24 25 26
10 11 12 13 14 15 16 17 9 1 2 3 4 5 6 7 8 0 28 29 30 31 32 33 34 35 27 19 20 21 22 23 24 25 26 18
11 12 13 14 15 16 17 9 10 2 3 4 5 6 7 8 0 1 29 30 31 32 33 34 35 27 28 20 21 22 23 24 25 26 18 19
12 13 14 15 16 17 9 10 11 3 4 5 6 7 8 0 1 2 30 31 32 33 34 35 27 28 29 21 22 23 24 25 26 18 19 20
13 14 15 16 17 9 10 11 12 4 5 6 7 8 0 1 2 3 31 32 33 34 35 27 28 29 30 22 23 24 25 26 18 19 20 21
14 15 16 17 9 10 11 12 13 5 6 7 8 0 1 2 3 4 32 33 34 35 27 28 29 30 31 23 24 25 26 18 19 20 21 22
15 16 17 9 10 11 12 13 14 6 7 8 0 1 2 3 4 5 33 34 35 27 28 29 30 31 32 24 25 26 18 19 20 21 22 23
16 17 9 10 11 12 13 14 15 7 8 0 1 2 3 4 5 6 34 35 27 28 29 30 31 32 33 25 26 18 19 20 21 22 23 24
17 9 10 11 12 13 14 15 16 8 0 1 2 3 4 5 6 7 35 27 28 29 30 31 32 33 34 26 18 19 20 21 22 23 24 25
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 21 22 23 24 25 26 18 28 29 30 31 32 33 34 35 27 1 2 3 4 5 6 7 8 0 10 11 12 13 14 15 16 17 9
20 21 22 23 24 25 26 18 19 29 30 31 32 33 34 35 27 28 2 3 4 5 6 7 8 0 1 11 12 13 14 15 16 17 9 10
21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11
22 23 24 25 26 18 19 20 21 31 32 33 34 35 27 28 29 30 4 5 6 7 8 0 1 2 3 13 14 15 16 17 9 10 11 12
23 24 25 26 18 19 20 21 22 32 33 34 35 27 28 29 30 31 5 6 7 8 0 1 2 3 4 14 15 16 17 9 10 11 12 13
24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14
25 26 18 19 20 21 22 23 24 34 35 27 28 29 30 31 32 33 7 8 0 1 2 3 4 5 6 16 17 9 10 11 12 13 14 15
26 18 19 20 21 22 23 24 25 35 27 28 29 30 31 32 33 34 8 0 1 2 3 4 5 6 7 17 9 10 11 12 13 14 15 16
27 28 29 30 31 32 33 34 35 18 19 20 21 22 23 24 25 26 9 10 11 12 13 14 15 16 17 0 1 2 3 4 5 6 7 8
28 29 30 31 32 33 34 35 27 19 20 21 22 23 24 25 26 18 10 11 12 13 14 15 16 17 9 1 2 3 4 5 6 7 8 0
29 30 31 32 33 34 35 27 28 20 21 22 23 24 25 26 18 19 11 12 13 14 15 16 17 9 10 2 3 4 5 6 7 8 0 1
30 31 32 33 34 35 27 28 29 21 22 23 24 25 26 18 19 20 12 13 14 15 16 17 9 10 11 3 4 5 6 7 8 0 1 2
31 32 33 34 35 27 28 29 30 22 23 24 25 26 18 19 20 21 13 14 15 16 17 9 10 11 12 4 5 6 7 8 0 1 2 3
32 33 34 35 27 28 29 30 31 23 24 25 26 18 19 20 21 22 14 15 16 17 9 10 11 12 13 5 6 7 8 0 1 2 3 4
33 34 35 27 28 29 30 31 32 24 25 26 18 19 20 21 22 23 15 16 17 9 10 11 12 13 14 6 7 8 0 1 2 3 4 5
34 35 27 28 29 30 31 32 33 25 26 18 19 20 21 22 23 24 16 17 9 10 11 12 13 14 15 7 8 0 1 2 3 4 5 6
35 27 28 29 30 31 32 33 34 26 18 19 20 21 22 23 24 25 17 9 10 11 12 13 14 15 16 8 0 1 2 3 4 5 6 7
Z2xZ2xZ3xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29
4 5 3 7 8 6 1 2 0 13 14 12 16 17 15 10 11 9 22 23 21 25 26 24 19 20 18 31 32 30 34 35 33 28 29 27
5 3 4 8 6 7 2 0 1 14 12 13 17 15 16 11 9 10 23 21 22 26 24 25 20 18 19 32 30 31 35 33 34 29 27 28
6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32
7 8 6 1 2 0 4 5 3 16 17 15 10 11 9 13 14 12 25 26 24 19 20 18 22 23 21 34 35 33 28 29 27 31 32 30
8 6 7 2 0 1 5 3 4 17 15 16 11 9 10 14 12 13 26 24 25 20 18 19 23 21 22 35 33 34 29 27 28 32 30 31
9 10 11 12 13 14 15 16 17 0 1 2 3 4 5 6 7 8 27 28 29 30 31 32 33 34 35 18 19 20 21 22 23 24 25 26
10 11 9 13 14 12 16 17 15 1 2 0 4 5 3 7 8 6 28 29 27 31 32 30 34 35 33 19 20 18 22 23 21 25 26 24
11 9 10 14 12 13 17 15 16 2 0 1 5 3 4 8 6 7 29 27 28 32 30 31 35 33 34 20 18 19 23 21 22 26 24 25
12 13 14 15 16 17 9 10 11 3 4 5 6 7 8 0 1 2 30 31 32 33 34 35 27 28 29 21 22 23 24 25 26 18 19 20
13 14 12 16 17 15 10 11 9 4 5 3 7 8 6 1 2 0 31 32 30 34 35 33 28 29 27 22 23 21 25 26 24 19 20 18
14 12 13 17 15 16 11 9 10 5 3 4 8 6 7 2 0 1 32 30 31 35 33 34 29 27 28 23 21 22 26 24 25 20 18 19
15 16 17 9 10 11 12 13 14 6 7 8 0 1 2 3 4 5 33 34 35 27 28 29 30 31 32 24 25 26 18 19 20 21 22 23
16 17 15 10 11 9 13 14 12 7 8 6 1 2 0 4 5 3 34 35 33 28 29 27 31 32 30 25 26 24 19 20 18 22 23 21
17 15 16 11 9 10 14 12 13 8 6 7 2 0 1 5 3 4 35 33 34 29 27 28 32 30 31 26 24 25 20 18 19 23 21 22
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15
20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16
21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11
22 23 21 25 26 24 19 20 18 31 32 30 34 35 33 28 29 27 4 5 3 7 8 6 1 2 0 13 14 12 16 17 15 10 11 9
23 21 22 26 24 25 20 18 19 32 30 31 35 33 34 29 27 28 5 3 4 8 6 7 2 0 1 14 12 13 17 15 16 11 9 10
24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14
25 26 24 19 20 18 22 23 21 34 35 33 28 29 27 31 32 30 7 8 6 1 2 0 4 5 3 16 17 15 10 11 9 13 14 12
26 24 25 20 18 19 23 21 22 35 33 34 29 27 28 32 30 31 8 6 7 2 0 1 5 3 4 17 15 16 11 9 10 14 12 13
27 28 29 30 31 32 33 34 35 18 19 20 21 22 23 24 25 26 9 10 11 12 13 14 15 16 17 0 1 2 3 4 5 6 7 8
28 29 27 31 32 30 34 35 33 19 20 18 22 23 21 25 26 24 10 11 9 13 14 12 16 17 15 1 2 0 4 5 3 7 8 6
29 27 28 32 30 31 35 33 34 20 18 19 23 21 22 26 24 25 11 9 10 14 12 13 17 15 16 2 0 1 5 3 4 8 6 7
30 31 32 33 34 35 27 28 29 21 22 23 24 25 26 18 19 20 12 13 14 15 16 17 9 10 11 3 4 5 6 7 8 0 1 2
31 32 30 34 35 33 28 29 27 22 23 21 25 26 24 19 20 18 13 14 12 16 17 15 10 11 9 4 5 3 7 8 6 1 2 0
32 30 31 35 33 34 29 27 28 23 21 22 26 24 25 20 18 19 14 12 13 17 15 16 11 9 10 5 3 4 8 6 7 2 0 1
33 34 35 27 28 29 30 31 32 24 25 26 18 19 20 21 22 23 15 16 17 9 10 11 12 13 14 6 7 8 0 1 2 3 4 5
34 35 33 28 29 27 31 32 30 25 26 24 19 20 18 22 23 21 16 17 15 10 11 9 13 14 12 7 8 6 1 2 0 4 5 3
35 33 34 29 27 28 32 30 31 26 24 25 20 18 19 23 21 22 17 15 16 11 9 10 14 12 13 8 6 7 2 0 1 5 3 4
D36
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1
3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3
5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5
7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32 31 30
30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34 33 32
32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 35 34
34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Dic9
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22 3 20
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1
3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24 5 22
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3
5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26 7 24
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5
7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28 9 26
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7
9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30 11 28
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9
11 28 9 26 7 24 5 22 3 20 1 18 35 16 33 14 31 12 29 10 27 8 25 6 23 4 21 2 19 0 17 34 15 32 13 30
