5 50
Z2xZ25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0
27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2
29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4
31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5
32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6
33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7
34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8
35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9
36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10
37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11
38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12
39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13
40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Z2xZ5xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 46 47 48 49 45
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 47 48 49 45 46
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 48 49 45 46 47
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 49 45 46 47 48
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29
6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 1 2 3 4 0 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 46 47 48 49 45 26 27 28 29 25
7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 2 3 4 0 1 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 47 48 49 45 46 27 28 29 25 26
8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 3 4 0 1 2 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 48 49 45 46 47 28 29 25 26 27
9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 4 0 1 2 3 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 49 45 46 47 48 29 25 26 27 28
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34
11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 1 2 3 4 0 6 7 8 9 5 36 37 38 39 35 41 42 43 44 40 46 47 48 49 45 26 27 28 29 25 31 32 33 34 30
12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 2 3 4 0 1 7 8 9 5 6 37 38 39 35 36 42 43 44 40 41 47 48 49 45 46 27 28 29 25 26 32 33 34 30 31
13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 3 4 0 1 2 8 9 5 6 7 38 39 35 36 37 43 44 40 41 42 48 49 45 46 47 28 29 25 26 27 33 34 30 31 32
14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 4 0 1 2 3 9 5 6 7 8 39 35 36 37 38 44 40 41 42 43 49 45 46 47 48 29 25 26 27 28 34 30 31 32 33
15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
16 17 18 19 15 21 22 23 24 20 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 41 42 43 44 40 46 47 48 49 45 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35
17 18 19 15 16 22 23 24 20 21 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 42 43 44 40 41 47 48 49 45 46 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36
18 19 15 16 17 23 24 20 21 22 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 43 44 40 41 42 48 49 45 46 47 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37
19 15 16 17 18 24 20 21 22 23 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 44 40 41 42 43 49 45 46 47 48 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38
20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
21 22 23 24 20 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 46 47 48 49 45 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40
22 23 24 20 21 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 47 48 49 45 46 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41
23 24 20 21 22 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 48 49 45 46 47 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42
24 20 21 22 23 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 49 45 46 47 48 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43
25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 46 47 48 49 45 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20
27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 47 48 49 45 46 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21
28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 48 49 45 46 47 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22
29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 49 45 46 47 48 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4
31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 46 47 48 49 45 26 27 28 29 25 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 1 2 3 4 0
32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 47 48 49 45 46 27 28 29 25 26 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 2 3 4 0 1
33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 48 49 45 46 47 28 29 25 26 27 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 3 4 0 1 2
34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 49 45 46 47 48 29 25 26 27 28 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 4 0 1 2 3
35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9
36 37 38 39 35 41 42 43 44 40 46 47 48 49 45 26 27 28 29 25 31 32 33 34 30 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 1 2 3 4 0 6 7 8 9 5
37 38 39 35 36 42 43 44 40 41 47 48 49 45 46 27 28 29 25 26 32 33 34 30 31 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 2 3 4 0 1 7 8 9 5 6
38 39 35 36 37 43 44 40 41 42 48 49 45 46 47 28 29 25 26 27 33 34 30 31 32 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 3 4 0 1 2 8 9 5 6 7
39 35 36 37 38 44 40 41 42 43 49 45 46 47 48 29 25 26 27 28 34 30 31 32 33 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 4 0 1 2 3 9 5 6 7 8
40 41 42 43 44 45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 15 16 17 18 19 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
41 42 43 44 40 46 47 48 49 45 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 16 17 18 19 15 21 22 23 24 20 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
42 43 44 40 41 47 48 49 45 46 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 17 18 19 15 16 22 23 24 20 21 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
43 44 40 41 42 48 49 45 46 47 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 18 19 15 16 17 23 24 20 21 22 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
44 40 41 42 43 49 45 46 47 48 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 19 15 16 17 18 24 20 21 22 23 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
45 46 47 48 49 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 20 21 22 23 24 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
46 47 48 49 45 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 21 22 23 24 20 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
47 48 49 45 46 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 22 23 24 20 21 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
48 49 45 46 47 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 23 24 20 21 22 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
49 45 46 47 48 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 24 20 21 22 23 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
D50
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1
3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3
5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5
7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32
32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34
34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38 37 36
36 37 38 39 40 41 42 43 44 45 46 47 48 49 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 49 48 47 46 45 44 43 42 41 40 39 38
