52 48
Z16xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12
17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15
20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16
21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18
23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21
26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22
27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24
29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27
32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28
33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30
35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31
36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36
41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37
42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39
44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40
45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42
47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43
Z8xZ2xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46
3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44
4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42
5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5
7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3
8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4
9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2
10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0
11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9
14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10
15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8
16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6
17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15
20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16
21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14
22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12
23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21
26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22
27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20
28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18
29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27
32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28
33 34 35 30 31 32 39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26
34 35 33 31 32 30 40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24
35 33 34 32 30 31 41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25
36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
39 40 41 36 37 38 45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32
40 41 39 37 38 36 46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30
41 39 40 38 36 37 47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31
42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39
44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40
45 46 47 42 43 44 3 4 5 0 1 2 9 10 11 6 7 8 15 16 17 12 13 14 21 22 23 18 19 20 27 28 29 24 25 26 33 34 35 30 31 32 39 40 41 36 37 38
46 47 45 43 44 42 4 5 3 1 2 0 10 11 9 7 8 6 16 17 15 13 14 12 22 23 21 19 20 18 28 29 27 25 26 24 34 35 33 31 32 30 40 41 39 37 38 36
47 45 46 44 42 43 5 3 4 2 0 1 11 9 10 8 6 7 17 15 16 14 12 13 23 21 22 20 18 19 29 27 28 26 24 25 35 33 34 32 30 31 41 39 40 38 36 37
Z4xZ4xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46
3 4 5 6 7 8 9 10 11 0 1 2 15 16 17 18 19 20 21 22 23 12 13 14 27 28 29 30 31 32 33 34 35 24 25 26 39 40 41 42 43 44 45 46 47 36 37 38
4 5 3 7 8 6 10 11 9 1 2 0 16 17 15 19 20 18 22 23 21 13 14 12 28 29 27 31 32 30 34 35 33 25 26 24 40 41 39 43 44 42 46 47 45 37 38 36
5 3 4 8 6 7 11 9 10 2 0 1 17 15 16 20 18 19 23 21 22 14 12 13 29 27 28 32 30 31 35 33 34 26 24 25 41 39 40 44 42 43 47 45 46 38 36 37
6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29 42 43 44 45 46 47 36 37 38 39 40 41
7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22 23 21 13 14 12 16 17 15 31 32 30 34 35 33 25 26 24 28 29 27 43 44 42 46 47 45 37 38 36 40 41 39
8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23 21 22 14 12 13 17 15 16 32 30 31 35 33 34 26 24 25 29 27 28 44 42 43 47 45 46 38 36 37 41 39 40
9 10 11 0 1 2 3 4 5 6 7 8 21 22 23 12 13 14 15 16 17 18 19 20 33 34 35 24 25 26 27 28 29 30 31 32 45 46 47 36 37 38 39 40 41 42 43 44
10 11 9 1 2 0 4 5 3 7 8 6 22 23 21 13 14 12 16 17 15 19 20 18 34 35 33 25 26 24 28 29 27 31 32 30 46 47 45 37 38 36 40 41 39 43 44 42
11 9 10 2 0 1 5 3 4 8 6 7 23 21 22 14 12 13 17 15 16 20 18 19 35 33 34 26 24 25 29 27 28 32 30 31 47 45 46 38 36 37 41 39 40 44 42 43
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9
14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10
15 16 17 18 19 20 21 22 23 12 13 14 27 28 29 30 31 32 33 34 35 24 25 26 39 40 41 42 43 44 45 46 47 36 37 38 3 4 5 6 7 8 9 10 11 0 1 2
16 17 15 19 20 18 22 23 21 13 14 12 28 29 27 31 32 30 34 35 33 25 26 24 40 41 39 43 44 42 46 47 45 37 38 36 4 5 3 7 8 6 10 11 9 1 2 0
17 15 16 20 18 19 23 21 22 14 12 13 29 27 28 32 30 31 35 33 34 26 24 25 41 39 40 44 42 43 47 45 46 38 36 37 5 3 4 8 6 7 11 9 10 2 0 1
18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29 42 43 44 45 46 47 36 37 38 39 40 41 6 7 8 9 10 11 0 1 2 3 4 5
19 20 18 22 23 21 13 14 12 16 17 15 31 32 30 34 35 33 25 26 24 28 29 27 43 44 42 46 47 45 37 38 36 40 41 39 7 8 6 10 11 9 1 2 0 4 5 3
20 18 19 23 21 22 14 12 13 17 15 16 32 30 31 35 33 34 26 24 25 29 27 28 44 42 43 47 45 46 38 36 37 41 39 40 8 6 7 11 9 10 2 0 1 5 3 4
21 22 23 12 13 14 15 16 17 18 19 20 33 34 35 24 25 26 27 28 29 30 31 32 45 46 47 36 37 38 39 40 41 42 43 44 9 10 11 0 1 2 3 4 5 6 7 8
22 23 21 13 14 12 16 17 15 19 20 18 34 35 33 25 26 24 28 29 27 31 32 30 46 47 45 37 38 36 40 41 39 43 44 42 10 11 9 1 2 0 4 5 3 7 8 6
23 21 22 14 12 13 17 15 16 20 18 19 35 33 34 26 24 25 29 27 28 32 30 31 47 45 46 38 36 37 41 39 40 44 42 43 11 9 10 2 0 1 5 3 4 8 6 7
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 28 29 27 31 32 30 34 35 33 37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21
26 24 25 29 27 28 32 30 31 35 33 34 38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22
27 28 29 30 31 32 33 34 35 24 25 26 39 40 41 42 43 44 45 46 47 36 37 38 3 4 5 6 7 8 9 10 11 0 1 2 15 16 17 18 19 20 21 22 23 12 13 14
28 29 27 31 32 30 34 35 33 25 26 24 40 41 39 43 44 42 46 47 45 37 38 36 4 5 3 7 8 6 10 11 9 1 2 0 16 17 15 19 20 18 22 23 21 13 14 12
29 27 28 32 30 31 35 33 34 26 24 25 41 39 40 44 42 43 47 45 46 38 36 37 5 3 4 8 6 7 11 9 10 2 0 1 17 15 16 20 18 19 23 21 22 14 12 13
30 31 32 33 34 35 24 25 26 27 28 29 42 43 44 45 46 47 36 37 38 39 40 41 6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17
31 32 30 34 35 33 25 26 24 28 29 27 43 44 42 46 47 45 37 38 36 40 41 39 7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22 23 21 13 14 12 16 17 15
32 30 31 35 33 34 26 24 25 29 27 28 44 42 43 47 45 46 38 36 37 41 39 40 8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23 21 22 14 12 13 17 15 16
33 34 35 24 25 26 27 28 29 30 31 32 45 46 47 36 37 38 39 40 41 42 43 44 9 10 11 0 1 2 3 4 5 6 7 8 21 22 23 12 13 14 15 16 17 18 19 20
34 35 33 25 26 24 28 29 27 31 32 30 46 47 45 37 38 36 40 41 39 43 44 42 10 11 9 1 2 0 4 5 3 7 8 6 22 23 21 13 14 12 16 17 15 19 20 18
35 33 34 26 24 25 29 27 28 32 30 31 47 45 46 38 36 37 41 39 40 44 42 43 11 9 10 2 0 1 5 3 4 8 6 7 23 21 22 14 12 13 17 15 16 20 18 19
36 37 38 39 40 41 42 43 44 45 46 47 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 40 41 39 43 44 42 46 47 45 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
38 36 37 41 39 40 44 42 43 47 45 46 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
39 40 41 42 43 44 45 46 47 36 37 38 3 4 5 6 7 8 9 10 11 0 1 2 15 16 17 18 19 20 21 22 23 12 13 14 27 28 29 30 31 32 33 34 35 24 25 26
40 41 39 43 44 42 46 47 45 37 38 36 4 5 3 7 8 6 10 11 9 1 2 0 16 17 15 19 20 18 22 23 21 13 14 12 28 29 27 31 32 30 34 35 33 25 26 24
41 39 40 44 42 43 47 45 46 38 36 37 5 3 4 8 6 7 11 9 10 2 0 1 17 15 16 20 18 19 23 21 22 14 12 13 29 27 28 32 30 31 35 33 34 26 24 25
42 43 44 45 46 47 36 37 38 39 40 41 6 7 8 9 10 11 0 1 2 3 4 5 18 19 20 21 22 23 12 13 14 15 16 17 30 31 32 33 34 35 24 25 26 27 28 29
43 44 42 46 47 45 37 38 36 40 41 39 7 8 6 10 11 9 1 2 0 4 5 3 19 20 18 22 23 21 13 14 12 16 17 15 31 32 30 34 35 33 25 26 24 28 29 27
44 42 43 47 45 46 38 36 37 41 39 40 8 6 7 11 9 10 2 0 1 5 3 4 20 18 19 23 21 22 14 12 13 17 15 16 32 30 31 35 33 34 26 24 25 29 27 28
45 46 47 36 37 38 39 40 41 42 43 44 9 10 11 0 1 2 3 4 5 6 7 8 21 22 23 12 13 14 15 16 17 18 19 20 33 34 35 24 25 26 27 28 29 30 31 32
46 47 45 37 38 36 40 41 39 43 44 42 10 11 9 1 2 0 4 5 3 7 8 6 22 23 21 13 14 12 16 17 15 19 20 18 34 35 33 25 26 24 28 29 27 31 32 30
47 45 46 38 36 37 41 39 40 44 42 43 11 9 10 2 0 1 5 3 4 8 6 7 23 21 22 14 12 13 17 15 16 20 18 19 35 33 34 26 24 25 29 27 28 32 30 31
Z4xZ2xZ2xZ3
