14 40
Z8xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
5 6 7 8 9 0 1 2 3 4 15 16 17 18 19 10 11 12 13 14 25 26 27 28 29 20 21 22 23 24 35 36 37 38 39 30 31 32 33 34
6 7 8 9 5 1 2 3 4 0 16 17 18 19 15 11 12 13 14 10 26 27 28 29 25 21 22 23 24 20 36 37 38 39 35 31 32 33 34 30
7 8 9 5 6 2 3 4 0 1 17 18 19 15 16 12 13 14 10 11 27 28 29 25 26 22 23 24 20 21 37 38 39 35 36 32 33 34 30 31
8 9 5 6 7 3 4 0 1 2 18 19 15 16 17 13 14 10 11 12 28 29 25 26 27 23 24 20 21 22 38 39 35 36 37 33 34 30 31 32
9 5 6 7 8 4 0 1 2 3 19 15 16 17 18 14 10 11 12 13 29 25 26 27 28 24 20 21 22 23 39 35 36 37 38 34 30 31 32 33
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9
11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5
12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6
13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7
14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8
15 16 17 18 19 10 11 12 13 14 25 26 27 28 29 20 21 22 23 24 35 36 37 38 39 30 31 32 33 34 5 6 7 8 9 0 1 2 3 4
16 17 18 19 15 11 12 13 14 10 26 27 28 29 25 21 22 23 24 20 36 37 38 39 35 31 32 33 34 30 6 7 8 9 5 1 2 3 4 0
17 18 19 15 16 12 13 14 10 11 27 28 29 25 26 22 23 24 20 21 37 38 39 35 36 32 33 34 30 31 7 8 9 5 6 2 3 4 0 1
18 19 15 16 17 13 14 10 11 12 28 29 25 26 27 23 24 20 21 22 38 39 35 36 37 33 34 30 31 32 8 9 5 6 7 3 4 0 1 2
19 15 16 17 18 14 10 11 12 13 29 25 26 27 28 24 20 21 22 23 39 35 36 37 38 34 30 31 32 33 9 5 6 7 8 4 0 1 2 3
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
25 26 27 28 29 20 21 22 23 24 35 36 37 38 39 30 31 32 33 34 5 6 7 8 9 0 1 2 3 4 15 16 17 18 19 10 11 12 13 14
26 27 28 29 25 21 22 23 24 20 36 37 38 39 35 31 32 33 34 30 6 7 8 9 5 1 2 3 4 0 16 17 18 19 15 11 12 13 14 10
27 28 29 25 26 22 23 24 20 21 37 38 39 35 36 32 33 34 30 31 7 8 9 5 6 2 3 4 0 1 17 18 19 15 16 12 13 14 10 11
28 29 25 26 27 23 24 20 21 22 38 39 35 36 37 33 34 30 31 32 8 9 5 6 7 3 4 0 1 2 18 19 15 16 17 13 14 10 11 12
29 25 26 27 28 24 20 21 22 23 39 35 36 37 38 34 30 31 32 33 9 5 6 7 8 4 0 1 2 3 19 15 16 17 18 14 10 11 12 13
30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
35 36 37 38 39 30 31 32 33 34 5 6 7 8 9 0 1 2 3 4 15 16 17 18 19 10 11 12 13 14 25 26 27 28 29 20 21 22 23 24
36 37 38 39 35 31 32 33 34 30 6 7 8 9 5 1 2 3 4 0 16 17 18 19 15 11 12 13 14 10 26 27 28 29 25 21 22 23 24 20
37 38 39 35 36 32 33 34 30 31 7 8 9 5 6 2 3 4 0 1 17 18 19 15 16 12 13 14 10 11 27 28 29 25 26 22 23 24 20 21
38 39 35 36 37 33 34 30 31 32 8 9 5 6 7 3 4 0 1 2 18 19 15 16 17 13 14 10 11 12 28 29 25 26 27 23 24 20 21 22
39 35 36 37 38 34 30 31 32 33 9 5 6 7 8 4 0 1 2 3 19 15 16 17 18 14 10 11 12 13 29 25 26 27 28 24 20 21 22 23
Z2xZ2xZ2xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38
5 6 7 8 9 0 1 2 3 4 15 16 17 18 19 10 11 12 13 14 25 26 27 28 29 20 21 22 23 24 35 36 37 38 39 30 31 32 33 34
6 7 8 9 5 1 2 3 4 0 16 17 18 19 15 11 12 13 14 10 26 27 28 29 25 21 22 23 24 20 36 37 38 39 35 31 32 33 34 30
7 8 9 5 6 2 3 4 0 1 17 18 19 15 16 12 13 14 10 11 27 28 29 25 26 22 23 24 20 21 37 38 39 35 36 32 33 34 30 31
8 9 5 6 7 3 4 0 1 2 18 19 15 16 17 13 14 10 11 12 28 29 25 26 27 23 24 20 21 22 38 39 35 36 37 33 34 30 31 32
9 5 6 7 8 4 0 1 2 3 19 15 16 17 18 14 10 11 12 13 29 25 26 27 28 24 20 21 22 23 39 35 36 37 38 34 30 31 32 33
10 11 12 13 14 15 16 17 18 19 0 1 2 3 4 5 6 7 8 9 30 31 32 33 34 35 36 37 38 39 20 21 22 23 24 25 26 27 28 29
11 12 13 14 10 16 17 18 19 15 1 2 3 4 0 6 7 8 9 5 31 32 33 34 30 36 37 38 39 35 21 22 23 24 20 26 27 28 29 25
12 13 14 10 11 17 18 19 15 16 2 3 4 0 1 7 8 9 5 6 32 33 34 30 31 37 38 39 35 36 22 23 24 20 21 27 28 29 25 26
13 14 10 11 12 18 19 15 16 17 3 4 0 1 2 8 9 5 6 7 33 34 30 31 32 38 39 35 36 37 23 24 20 21 22 28 29 25 26 27
14 10 11 12 13 19 15 16 17 18 4 0 1 2 3 9 5 6 7 8 34 30 31 32 33 39 35 36 37 38 24 20 21 22 23 29 25 26 27 28
15 16 17 18 19 10 11 12 13 14 5 6 7 8 9 0 1 2 3 4 35 36 37 38 39 30 31 32 33 34 25 26 27 28 29 20 21 22 23 24
16 17 18 19 15 11 12 13 14 10 6 7 8 9 5 1 2 3 4 0 36 37 38 39 35 31 32 33 34 30 26 27 28 29 25 21 22 23 24 20
17 18 19 15 16 12 13 14 10 11 7 8 9 5 6 2 3 4 0 1 37 38 39 35 36 32 33 34 30 31 27 28 29 25 26 22 23 24 20 21
18 19 15 16 17 13 14 10 11 12 8 9 5 6 7 3 4 0 1 2 38 39 35 36 37 33 34 30 31 32 28 29 25 26 27 23 24 20 21 22
19 15 16 17 18 14 10 11 12 13 9 5 6 7 8 4 0 1 2 3 39 35 36 37 38 34 30 31 32 33 29 25 26 27 28 24 20 21 22 23
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
25 26 27 28 29 20 21 22 23 24 35 36 37 38 39 30 31 32 33 34 5 6 7 8 9 0 1 2 3 4 15 16 17 18 19 10 11 12 13 14
26 27 28 29 25 21 22 23 24 20 36 37 38 39 35 31 32 33 34 30 6 7 8 9 5 1 2 3 4 0 16 17 18 19 15 11 12 13 14 10
27 28 29 25 26 22 23 24 20 21 37 38 39 35 36 32 33 34 30 31 7 8 9 5 6 2 3 4 0 1 17 18 19 15 16 12 13 14 10 11
28 29 25 26 27 23 24 20 21 22 38 39 35 36 37 33 34 30 31 32 8 9 5 6 7 3 4 0 1 2 18 19 15 16 17 13 14 10 11 12
29 25 26 27 28 24 20 21 22 23 39 35 36 37 38 34 30 31 32 33 9 5 6 7 8 4 0 1 2 3 19 15 16 17 18 14 10 11 12 13
30 31 32 33 34 35 36 37 38 39 20 21 22 23 24 25 26 27 28 29 10 11 12 13 14 15 16 17 18 19 0 1 2 3 4 5 6 7 8 9
31 32 33 34 30 36 37 38 39 35 21 22 23 24 20 26 27 28 29 25 11 12 13 14 10 16 17 18 19 15 1 2 3 4 0 6 7 8 9 5
32 33 34 30 31 37 38 39 35 36 22 23 24 20 21 27 28 29 25 26 12 13 14 10 11 17 18 19 15 16 2 3 4 0 1 7 8 9 5 6
33 34 30 31 32 38 39 35 36 37 23 24 20 21 22 28 29 25 26 27 13 14 10 11 12 18 19 15 16 17 3 4 0 1 2 8 9 5 6 7
34 30 31 32 33 39 35 36 37 38 24 20 21 22 23 29 25 26 27 28 14 10 11 12 13 19 15 16 17 18 4 0 1 2 3 9 5 6 7 8
35 36 37 38 39 30 31 32 33 34 25 26 27 28 29 20 21 22 23 24 15 16 17 18 19 10 11 12 13 14 5 6 7 8 9 0 1 2 3 4
36 37 38 39 35 31 32 33 34 30 26 27 28 29 25 21 22 23 24 20 16 17 18 19 15 11 12 13 14 10 6 7 8 9 5 1 2 3 4 0
37 38 39 35 36 32 33 34 30 31 27 28 29 25 26 22 23 24 20 21 17 18 19 15 16 12 13 14 10 11 7 8 9 5 6 2 3 4 0 1
38 39 35 36 37 33 34 30 31 32 28 29 25 26 27 23 24 20 21 22 18 19 15 16 17 13 14 10 11 12 8 9 5 6 7 3 4 0 1 2
39 35 36 37 38 34 30 31 32 33 29 25 26 27 28 24 20 21 22 23 19 15 16 17 18 14 10 11 12 13 9 5 6 7 8 4 0 1 2 3
D40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1
3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3
5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5
7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32 31 30
30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34 33 32
32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36 35 34
34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38 37 36
36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 39 38
38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Dic10
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32 11 30 9 28 7 26 5 24 3 22
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1
3 22 1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32 11 30 9 28 7 26 5 24
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3
5 24 3 22 1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32 11 30 9 28 7 26
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5
7 26 5 24 3 22 1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32 11 30 9 28
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7
9 28 7 26 5 24 3 22 1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32 11 30
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9
11 30 9 28 7 26 5 24 3 22 1 20 39 18 37 16 35 14 33 12 31 10 29 8 27 6 25 4 23 2 21 0 19 38 17 36 15 34 13 32
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11
