5 52
Z4xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36 50 51 39 40 41 42 43 44 45 46 47 48 49
12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37 51 39 40 41 42 43 44 45 46 47 48 49 50
13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12
14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26 40 41 42 43 44 45 46 47 48 49 50 51 39 1 2 3 4 5 6 7 8 9 10 11 12 0
15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27 41 42 43 44 45 46 47 48 49 50 51 39 40 2 3 4 5 6 7 8 9 10 11 12 0 1
16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28 42 43 44 45 46 47 48 49 50 51 39 40 41 3 4 5 6 7 8 9 10 11 12 0 1 2
17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29 43 44 45 46 47 48 49 50 51 39 40 41 42 4 5 6 7 8 9 10 11 12 0 1 2 3
18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30 44 45 46 47 48 49 50 51 39 40 41 42 43 5 6 7 8 9 10 11 12 0 1 2 3 4
19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31 45 46 47 48 49 50 51 39 40 41 42 43 44 6 7 8 9 10 11 12 0 1 2 3 4 5
20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32 46 47 48 49 50 51 39 40 41 42 43 44 45 7 8 9 10 11 12 0 1 2 3 4 5 6
21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33 47 48 49 50 51 39 40 41 42 43 44 45 46 8 9 10 11 12 0 1 2 3 4 5 6 7
22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34 48 49 50 51 39 40 41 42 43 44 45 46 47 9 10 11 12 0 1 2 3 4 5 6 7 8
23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35 49 50 51 39 40 41 42 43 44 45 46 47 48 10 11 12 0 1 2 3 4 5 6 7 8 9
24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36 50 51 39 40 41 42 43 44 45 46 47 48 49 11 12 0 1 2 3 4 5 6 7 8 9 10
25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37 51 39 40 41 42 43 44 45 46 47 48 49 50 12 0 1 2 3 4 5 6 7 8 9 10 11
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 28 29 30 31 32 33 34 35 36 37 38 26 40 41 42 43 44 45 46 47 48 49 50 51 39 1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13
28 29 30 31 32 33 34 35 36 37 38 26 27 41 42 43 44 45 46 47 48 49 50 51 39 40 2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14
29 30 31 32 33 34 35 36 37 38 26 27 28 42 43 44 45 46 47 48 49 50 51 39 40 41 3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15
30 31 32 33 34 35 36 37 38 26 27 28 29 43 44 45 46 47 48 49 50 51 39 40 41 42 4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16
31 32 33 34 35 36 37 38 26 27 28 29 30 44 45 46 47 48 49 50 51 39 40 41 42 43 5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17
32 33 34 35 36 37 38 26 27 28 29 30 31 45 46 47 48 49 50 51 39 40 41 42 43 44 6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18
33 34 35 36 37 38 26 27 28 29 30 31 32 46 47 48 49 50 51 39 40 41 42 43 44 45 7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19
34 35 36 37 38 26 27 28 29 30 31 32 33 47 48 49 50 51 39 40 41 42 43 44 45 46 8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20
35 36 37 38 26 27 28 29 30 31 32 33 34 48 49 50 51 39 40 41 42 43 44 45 46 47 9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21
36 37 38 26 27 28 29 30 31 32 33 34 35 49 50 51 39 40 41 42 43 44 45 46 47 48 10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22
37 38 26 27 28 29 30 31 32 33 34 35 36 50 51 39 40 41 42 43 44 45 46 47 48 49 11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23
38 26 27 28 29 30 31 32 33 34 35 36 37 51 39 40 41 42 43 44 45 46 47 48 49 50 12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24
39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
40 41 42 43 44 45 46 47 48 49 50 51 39 1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26
41 42 43 44 45 46 47 48 49 50 51 39 40 2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27
42 43 44 45 46 47 48 49 50 51 39 40 41 3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28
43 44 45 46 47 48 49 50 51 39 40 41 42 4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29
44 45 46 47 48 49 50 51 39 40 41 42 43 5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30
45 46 47 48 49 50 51 39 40 41 42 43 44 6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31
46 47 48 49 50 51 39 40 41 42 43 44 45 7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32
47 48 49 50 51 39 40 41 42 43 44 45 46 8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33
48 49 50 51 39 40 41 42 43 44 45 46 47 9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34
49 50 51 39 40 41 42 43 44 45 46 47 48 10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35
50 51 39 40 41 42 43 44 45 46 47 48 49 11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36
51 39 40 41 42 43 44 45 46 47 48 49 50 12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37
Z2xZ2xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26 40 41 42 43 44 45 46 47 48 49 50 51 39
2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27 41 42 43 44 45 46 47 48 49 50 51 39 40
3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28 42 43 44 45 46 47 48 49 50 51 39 40 41
4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29 43 44 45 46 47 48 49 50 51 39 40 41 42
5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30 44 45 46 47 48 49 50 51 39 40 41 42 43
6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31 45 46 47 48 49 50 51 39 40 41 42 43 44
7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32 46 47 48 49 50 51 39 40 41 42 43 44 45
8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33 47 48 49 50 51 39 40 41 42 43 44 45 46
9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34 48 49 50 51 39 40 41 42 43 44 45 46 47
10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35 49 50 51 39 40 41 42 43 44 45 46 47 48
11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36 50 51 39 40 41 42 43 44 45 46 47 48 49
12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37 51 39 40 41 42 43 44 45 46 47 48 49 50
13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 39 40 41 42 43 44 45 46 47 48 49 50 51 26 27 28 29 30 31 32 33 34 35 36 37 38
14 15 16 17 18 19 20 21 22 23 24 25 13 1 2 3 4 5 6 7 8 9 10 11 12 0 40 41 42 43 44 45 46 47 48 49 50 51 39 27 28 29 30 31 32 33 34 35 36 37 38 26
15 16 17 18 19 20 21 22 23 24 25 13 14 2 3 4 5 6 7 8 9 10 11 12 0 1 41 42 43 44 45 46 47 48 49 50 51 39 40 28 29 30 31 32 33 34 35 36 37 38 26 27
16 17 18 19 20 21 22 23 24 25 13 14 15 3 4 5 6 7 8 9 10 11 12 0 1 2 42 43 44 45 46 47 48 49 50 51 39 40 41 29 30 31 32 33 34 35 36 37 38 26 27 28
17 18 19 20 21 22 23 24 25 13 14 15 16 4 5 6 7 8 9 10 11 12 0 1 2 3 43 44 45 46 47 48 49 50 51 39 40 41 42 30 31 32 33 34 35 36 37 38 26 27 28 29
18 19 20 21 22 23 24 25 13 14 15 16 17 5 6 7 8 9 10 11 12 0 1 2 3 4 44 45 46 47 48 49 50 51 39 40 41 42 43 31 32 33 34 35 36 37 38 26 27 28 29 30
19 20 21 22 23 24 25 13 14 15 16 17 18 6 7 8 9 10 11 12 0 1 2 3 4 5 45 46 47 48 49 50 51 39 40 41 42 43 44 32 33 34 35 36 37 38 26 27 28 29 30 31
20 21 22 23 24 25 13 14 15 16 17 18 19 7 8 9 10 11 12 0 1 2 3 4 5 6 46 47 48 49 50 51 39 40 41 42 43 44 45 33 34 35 36 37 38 26 27 28 29 30 31 32
21 22 23 24 25 13 14 15 16 17 18 19 20 8 9 10 11 12 0 1 2 3 4 5 6 7 47 48 49 50 51 39 40 41 42 43 44 45 46 34 35 36 37 38 26 27 28 29 30 31 32 33
22 23 24 25 13 14 15 16 17 18 19 20 21 9 10 11 12 0 1 2 3 4 5 6 7 8 48 49 50 51 39 40 41 42 43 44 45 46 47 35 36 37 38 26 27 28 29 30 31 32 33 34
23 24 25 13 14 15 16 17 18 19 20 21 22 10 11 12 0 1 2 3 4 5 6 7 8 9 49 50 51 39 40 41 42 43 44 45 46 47 48 36 37 38 26 27 28 29 30 31 32 33 34 35
24 25 13 14 15 16 17 18 19 20 21 22 23 11 12 0 1 2 3 4 5 6 7 8 9 10 50 51 39 40 41 42 43 44 45 46 47 48 49 37 38 26 27 28 29 30 31 32 33 34 35 36
25 13 14 15 16 17 18 19 20 21 22 23 24 12 0 1 2 3 4 5 6 7 8 9 10 11 51 39 40 41 42 43 44 45 46 47 48 49 50 38 26 27 28 29 30 31 32 33 34 35 36 37
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 28 29 30 31 32 33 34 35 36 37 38 26 40 41 42 43 44 45 46 47 48 49 50 51 39 1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13
28 29 30 31 32 33 34 35 36 37 38 26 27 41 42 43 44 45 46 47 48 49 50 51 39 40 2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14
29 30 31 32 33 34 35 36 37 38 26 27 28 42 43 44 45 46 47 48 49 50 51 39 40 41 3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15
30 31 32 33 34 35 36 37 38 26 27 28 29 43 44 45 46 47 48 49 50 51 39 40 41 42 4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16
31 32 33 34 35 36 37 38 26 27 28 29 30 44 45 46 47 48 49 50 51 39 40 41 42 43 5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17
32 33 34 35 36 37 38 26 27 28 29 30 31 45 46 47 48 49 50 51 39 40 41 42 43 44 6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18
33 34 35 36 37 38 26 27 28 29 30 31 32 46 47 48 49 50 51 39 40 41 42 43 44 45 7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19
34 35 36 37 38 26 27 28 29 30 31 32 33 47 48 49 50 51 39 40 41 42 43 44 45 46 8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20
35 36 37 38 26 27 28 29 30 31 32 33 34 48 49 50 51 39 40 41 42 43 44 45 46 47 9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21
36 37 38 26 27 28 29 30 31 32 33 34 35 49 50 51 39 40 41 42 43 44 45 46 47 48 10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22
37 38 26 27 28 29 30 31 32 33 34 35 36 50 51 39 40 41 42 43 44 45 46 47 48 49 11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23
38 26 27 28 29 30 31 32 33 34 35 36 37 51 39 40 41 42 43 44 45 46 47 48 49 50 12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24
39 40 41 42 43 44 45 46 47 48 49 50 51 26 27 28 29 30 31 32 33 34 35 36 37 38 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12
40 41 42 43 44 45 46 47 48 49 50 51 39 27 28 29 30 31 32 33 34 35 36 37 38 26 14 15 16 17 18 19 20 21 22 23 24 25 13 1 2 3 4 5 6 7 8 9 10 11 12 0
41 42 43 44 45 46 47 48 49 50 51 39 40 28 29 30 31 32 33 34 35 36 37 38 26 27 15 16 17 18 19 20 21 22 23 24 25 13 14 2 3 4 5 6 7 8 9 10 11 12 0 1
42 43 44 45 46 47 48 49 50 51 39 40 41 29 30 31 32 33 34 35 36 37 38 26 27 28 16 17 18 19 20 21 22 23 24 25 13 14 15 3 4 5 6 7 8 9 10 11 12 0 1 2
43 44 45 46 47 48 49 50 51 39 40 41 42 30 31 32 33 34 35 36 37 38 26 27 28 29 17 18 19 20 21 22 23 24 25 13 14 15 16 4 5 6 7 8 9 10 11 12 0 1 2 3
44 45 46 47 48 49 50 51 39 40 41 42 43 31 32 33 34 35 36 37 38 26 27 28 29 30 18 19 20 21 22 23 24 25 13 14 15 16 17 5 6 7 8 9 10 11 12 0 1 2 3 4
45 46 47 48 49 50 51 39 40 41 42 43 44 32 33 34 35 36 37 38 26 27 28 29 30 31 19 20 21 22 23 24 25 13 14 15 16 17 18 6 7 8 9 10 11 12 0 1 2 3 4 5
46 47 48 49 50 51 39 40 41 42 43 44 45 33 34 35 36 37 38 26 27 28 29 30 31 32 20 21 22 23 24 25 13 14 15 16 17 18 19 7 8 9 10 11 12 0 1 2 3 4 5 6
47 48 49 50 51 39 40 41 42 43 44 45 46 34 35 36 37 38 26 27 28 29 30 31 32 33 21 22 23 24 25 13 14 15 16 17 18 19 20 8 9 10 11 12 0 1 2 3 4 5 6 7
48 49 50 51 39 40 41 42 43 44 45 46 47 35 36 37 38 26 27 28 29 30 31 32 33 34 22 23 24 25 13 14 15 16 17 18 19 20 21 9 10 11 12 0 1 2 3 4 5 6 7 8
49 50 51 39 40 41 42 43 44 45 46 47 48 36 37 38 26 27 28 29 30 31 32 33 34 35 23 24 25 13 14 15 16 17 18 19 20 21 22 10 11 12 0 1 2 3 4 5 6 7 8 9
50 51 39 40 41 42 43 44 45 46 47 48 49 37 38 26 27 28 29 30 31 32 33 34 35 36 24 25 13 14 15 16 17 18 19 20 21 22 23 11 12 0 1 2 3 4 5 6 7 8 9 10
51 39 40 41 42 43 44 45 46 47 48 49 50 38 26 27 28 29 30 31 32 33 34 35 36 37 25 13 14 15 16 17 18 19 20 21 22 23 24 12 0 1 2 3 4 5 6 7 8 9 10 11
D52
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1
3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3
5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5
7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26
26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28
28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
