4 30
Z2xZ3xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
16 17 18 19 15 11 12 13 14 10 6 7 8 9 5 1 2 3 4 0 26 27 28 29 25 21 22 23 24 20
17 18 19 15 16 12 13 14 10 11 7 8 9 5 6 2 3 4 0 1 27 28 29 25 26 22 23 24 20 21
18 19 15 16 17 13 14 10 11 12 8 9 5 6 7 3 4 0 1 2 28 29 25 26 27 23 24 20 21 22
19 15 16 17 18 14 10 11 12 13 9 5 6 7 8 4 0 1 2 3 29 25 26 27 28 24 20 21 22 23
20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 24 20 26 27 28 29 25 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
22 23 24 20 21 27 28 29 25 26 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
23 24 20 21 22 28 29 25 26 27 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
24 20 21 22 23 29 25 26 27 28 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
25 26 27 28 29 20 21 22 23 24 15 16 17 18 19 10 11 12 13 14 5 6 7 8 9 0 1 2 3 4
26 27 28 29 25 21 22 23 24 20 16 17 18 19 15 11 12 13 14 10 6 7 8 9 5 1 2 3 4 0
27 28 29 25 26 22 23 24 20 21 17 18 19 15 16 12 13 14 10 11 7 8 9 5 6 2 3 4 0 1
28 29 25 26 27 23 24 20 21 22 18 19 15 16 17 13 14 10 11 12 8 9 5 6 7 3 4 0 1 2
29 25 26 27 28 24 20 21 22 23 19 15 16 17 18 14 10 11 12 13 9 5 6 7 8 4 0 1 2 3
Z3:D10
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
1 0 9 8 7 6 5 4 3 2 11 10 19 18 17 16 15 14 13 12 21 20 29 28 27 26 25 24 23 22
2 3 4 5 6 7 8 9 0 1 12 13 14 15 16 17 18 19 10 11 22 23 24 25 26 27 28 29 20 21
3 2 1 0 9 8 7 6 5 4 13 12 11 10 19 18 17 16 15 14 23 22 21 20 29 28 27 26 25 24
4 5 6 7 8 9 0 1 2 3 14 15 16 17 18 19 10 11 12 13 24 25 26 27 28 29 20 21 22 23
5 4 3 2 1 0 9 8 7 6 15 14 13 12 11 10 19 18 17 16 25 24 23 22 21 20 29 28 27 26
6 7 8 9 0 1 2 3 4 5 16 17 18 19 10 11 12 13 14 15 26 27 28 29 20 21 22 23 24 25
7 6 5 4 3 2 1 0 9 8 17 16 15 14 13 12 11 10 19 18 27 26 25 24 23 22 21 20 29 28
8 9 0 1 2 3 4 5 6 7 18 19 10 11 12 13 14 15 16 17 28 29 20 21 22 23 24 25 26 27
9 8 7 6 5 4 3 2 1 0 19 18 17 16 15 14 13 12 11 10 29 28 27 26 25 24 23 22 21 20
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9
11 10 19 18 17 16 15 14 13 12 21 20 29 28 27 26 25 24 23 22 1 0 9 8 7 6 5 4 3 2
12 13 14 15 16 17 18 19 10 11 22 23 24 25 26 27 28 29 20 21 2 3 4 5 6 7 8 9 0 1
13 12 11 10 19 18 17 16 15 14 23 22 21 20 29 28 27 26 25 24 3 2 1 0 9 8 7 6 5 4
14 15 16 17 18 19 10 11 12 13 24 25 26 27 28 29 20 21 22 23 4 5 6 7 8 9 0 1 2 3
15 14 13 12 11 10 19 18 17 16 25 24 23 22 21 20 29 28 27 26 5 4 3 2 1 0 9 8 7 6
16 17 18 19 10 11 12 13 14 15 26 27 28 29 20 21 22 23 24 25 6 7 8 9 0 1 2 3 4 5
17 16 15 14 13 12 11 10 19 18 27 26 25 24 23 22 21 20 29 28 7 6 5 4 3 2 1 0 9 8
18 19 10 11 12 13 14 15 16 17 28 29 20 21 22 23 24 25 26 27 8 9 0 1 2 3 4 5 6 7
19 18 17 16 15 14 13 12 11 10 29 28 27 26 25 24 23 22 21 20 9 8 7 6 5 4 3 2 1 0
20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 29 28 27 26 25 24 23 22 1 0 9 8 7 6 5 4 3 2 11 10 19 18 17 16 15 14 13 12
22 23 24 25 26 27 28 29 20 21 2 3 4 5 6 7 8 9 0 1 12 13 14 15 16 17 18 19 10 11
23 22 21 20 29 28 27 26 25 24 3 2 1 0 9 8 7 6 5 4 13 12 11 10 19 18 17 16 15 14
24 25 26 27 28 29 20 21 22 23 4 5 6 7 8 9 0 1 2 3 14 15 16 17 18 19 10 11 12 13
25 24 23 22 21 20 29 28 27 26 5 4 3 2 1 0 9 8 7 6 15 14 13 12 11 10 19 18 17 16
26 27 28 29 20 21 22 23 24 25 6 7 8 9 0 1 2 3 4 5 16 17 18 19 10 11 12 13 14 15
27 26 25 24 23 22 21 20 29 28 7 6 5 4 3 2 1 0 9 8 17 16 15 14 13 12 11 10 19 18
28 29 20 21 22 23 24 25 26 27 8 9 0 1 2 3 4 5 6 7 18 19 10 11 12 13 14 15 16 17
29 28 27 26 25 24 23 22 21 20 9 8 7 6 5 4 3 2 1 0 19 18 17 16 15 14 13 12 11 10
