2 45
Z9xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20
27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21
28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22
29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30
37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31
38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32
39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33
40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35
42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36
43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37
44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38
Z3xZ3xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43
5 6 7 8 9 10 11 12 13 14 0 1 2 3 4 20 21 22 23 24 25 26 27 28 29 15 16 17 18 19 35 36 37 38 39 40 41 42 43 44 30 31 32 33 34
6 7 8 9 5 11 12 13 14 10 1 2 3 4 0 21 22 23 24 20 26 27 28 29 25 16 17 18 19 15 36 37 38 39 35 41 42 43 44 40 31 32 33 34 30
7 8 9 5 6 12 13 14 10 11 2 3 4 0 1 22 23 24 20 21 27 28 29 25 26 17 18 19 15 16 37 38 39 35 36 42 43 44 40 41 32 33 34 30 31
8 9 5 6 7 13 14 10 11 12 3 4 0 1 2 23 24 20 21 22 28 29 25 26 27 18 19 15 16 17 38 39 35 36 37 43 44 40 41 42 33 34 30 31 32
9 5 6 7 8 14 10 11 12 13 4 0 1 2 3 24 20 21 22 23 29 25 26 27 28 19 15 16 17 18 39 35 36 37 38 44 40 41 42 43 34 30 31 32 33
10 11 12 13 14 0 1 2 3 4 5 6 7 8 9 25 26 27 28 29 15 16 17 18 19 20 21 22 23 24 40 41 42 43 44 30 31 32 33 34 35 36 37 38 39
11 12 13 14 10 1 2 3 4 0 6 7 8 9 5 26 27 28 29 25 16 17 18 19 15 21 22 23 24 20 41 42 43 44 40 31 32 33 34 30 36 37 38 39 35
12 13 14 10 11 2 3 4 0 1 7 8 9 5 6 27 28 29 25 26 17 18 19 15 16 22 23 24 20 21 42 43 44 40 41 32 33 34 30 31 37 38 39 35 36
13 14 10 11 12 3 4 0 1 2 8 9 5 6 7 28 29 25 26 27 18 19 15 16 17 23 24 20 21 22 43 44 40 41 42 33 34 30 31 32 38 39 35 36 37
14 10 11 12 13 4 0 1 2 3 9 5 6 7 8 29 25 26 27 28 19 15 16 17 18 24 20 21 22 23 44 40 41 42 43 34 30 31 32 33 39 35 36 37 38
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
20 21 22 23 24 25 26 27 28 29 15 16 17 18 19 35 36 37 38 39 40 41 42 43 44 30 31 32 33 34 5 6 7 8 9 10 11 12 13 14 0 1 2 3 4
21 22 23 24 20 26 27 28 29 25 16 17 18 19 15 36 37 38 39 35 41 42 43 44 40 31 32 33 34 30 6 7 8 9 5 11 12 13 14 10 1 2 3 4 0
22 23 24 20 21 27 28 29 25 26 17 18 19 15 16 37 38 39 35 36 42 43 44 40 41 32 33 34 30 31 7 8 9 5 6 12 13 14 10 11 2 3 4 0 1
23 24 20 21 22 28 29 25 26 27 18 19 15 16 17 38 39 35 36 37 43 44 40 41 42 33 34 30 31 32 8 9 5 6 7 13 14 10 11 12 3 4 0 1 2
24 20 21 22 23 29 25 26 27 28 19 15 16 17 18 39 35 36 37 38 44 40 41 42 43 34 30 31 32 33 9 5 6 7 8 14 10 11 12 13 4 0 1 2 3
25 26 27 28 29 15 16 17 18 19 20 21 22 23 24 40 41 42 43 44 30 31 32 33 34 35 36 37 38 39 10 11 12 13 14 0 1 2 3 4 5 6 7 8 9
26 27 28 29 25 16 17 18 19 15 21 22 23 24 20 41 42 43 44 40 31 32 33 34 30 36 37 38 39 35 11 12 13 14 10 1 2 3 4 0 6 7 8 9 5
27 28 29 25 26 17 18 19 15 16 22 23 24 20 21 42 43 44 40 41 32 33 34 30 31 37 38 39 35 36 12 13 14 10 11 2 3 4 0 1 7 8 9 5 6
28 29 25 26 27 18 19 15 16 17 23 24 20 21 22 43 44 40 41 42 33 34 30 31 32 38 39 35 36 37 13 14 10 11 12 3 4 0 1 2 8 9 5 6 7
29 25 26 27 28 19 15 16 17 18 24 20 21 22 23 44 40 41 42 43 34 30 31 32 33 39 35 36 37 38 14 10 11 12 13 4 0 1 2 3 9 5 6 7 8
30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 33 34 30 36 37 38 39 35 41 42 43 44 40 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
32 33 34 30 31 37 38 39 35 36 42 43 44 40 41 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
33 34 30 31 32 38 39 35 36 37 43 44 40 41 42 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
34 30 31 32 33 39 35 36 37 38 44 40 41 42 43 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
35 36 37 38 39 40 41 42 43 44 30 31 32 33 34 5 6 7 8 9 10 11 12 13 14 0 1 2 3 4 20 21 22 23 24 25 26 27 28 29 15 16 17 18 19
36 37 38 39 35 41 42 43 44 40 31 32 33 34 30 6 7 8 9 5 11 12 13 14 10 1 2 3 4 0 21 22 23 24 20 26 27 28 29 25 16 17 18 19 15
37 38 39 35 36 42 43 44 40 41 32 33 34 30 31 7 8 9 5 6 12 13 14 10 11 2 3 4 0 1 22 23 24 20 21 27 28 29 25 26 17 18 19 15 16
38 39 35 36 37 43 44 40 41 42 33 34 30 31 32 8 9 5 6 7 13 14 10 11 12 3 4 0 1 2 23 24 20 21 22 28 29 25 26 27 18 19 15 16 17
39 35 36 37 38 44 40 41 42 43 34 30 31 32 33 9 5 6 7 8 14 10 11 12 13 4 0 1 2 3 24 20 21 22 23 29 25 26 27 28 19 15 16 17 18
40 41 42 43 44 30 31 32 33 34 35 36 37 38 39 10 11 12 13 14 0 1 2 3 4 5 6 7 8 9 25 26 27 28 29 15 16 17 18 19 20 21 22 23 24
41 42 43 44 40 31 32 33 34 30 36 37 38 39 35 11 12 13 14 10 1 2 3 4 0 6 7 8 9 5 26 27 28 29 25 16 17 18 19 15 21 22 23 24 20
42 43 44 40 41 32 33 34 30 31 37 38 39 35 36 12 13 14 10 11 2 3 4 0 1 7 8 9 5 6 27 28 29 25 26 17 18 19 15 16 22 23 24 20 21
43 44 40 41 42 33 34 30 31 32 38 39 35 36 37 13 14 10 11 12 3 4 0 1 2 8 9 5 6 7 28 29 25 26 27 18 19 15 16 17 23 24 20 21 22
44 40 41 42 43 34 30 31 32 33 39 35 36 37 38 14 10 11 12 13 4 0 1 2 3 9 5 6 7 8 29 25 26 27 28 19 15 16 17 18 24 20 21 22 23
