2 39
Z3xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
27 28 29 30 31 32 33 34 35 36 37 38 26 1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13
28 29 30 31 32 33 34 35 36 37 38 26 27 2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14
29 30 31 32 33 34 35 36 37 38 26 27 28 3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15
30 31 32 33 34 35 36 37 38 26 27 28 29 4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16
31 32 33 34 35 36 37 38 26 27 28 29 30 5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17
32 33 34 35 36 37 38 26 27 28 29 30 31 6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18
33 34 35 36 37 38 26 27 28 29 30 31 32 7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19
34 35 36 37 38 26 27 28 29 30 31 32 33 8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20
35 36 37 38 26 27 28 29 30 31 32 33 34 9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21
36 37 38 26 27 28 29 30 31 32 33 34 35 10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22
37 38 26 27 28 29 30 31 32 33 34 35 36 11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23
38 26 27 28 29 30 31 32 33 34 35 36 37 12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24
Z13:Z3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30
2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2
4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33
5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5
7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36
8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8
10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0
11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3
14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6
17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9
20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31
21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12
23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34
24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15
26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37
27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18
29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1
30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21
32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4
33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27 37 38 36 7 8 6 16 17 15 25 26 24
35 33 34 23 21 22 11 9 10 38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7
36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
37 38 36 7 8 6 16 17 15 25 26 24 34 35 33 4 5 3 13 14 12 22 23 21 31 32 30 1 2 0 10 11 9 19 20 18 28 29 27
38 36 37 26 24 25 14 12 13 2 0 1 29 27 28 17 15 16 5 3 4 32 30 31 20 18 19 8 6 7 35 33 34 23 21 22 11 9 10
