1 51
Z3xZ17
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 46 47 48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11
30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 47 48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12
31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13
32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 34 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17
36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 34 35 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18
37 38 39 40 41 42 43 44 45 46 47 48 49 50 34 35 36 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19
38 39 40 41 42 43 44 45 46 47 48 49 50 34 35 36 37 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20
39 40 41 42 43 44 45 46 47 48 49 50 34 35 36 37 38 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21
40 41 42 43 44 45 46 47 48 49 50 34 35 36 37 38 39 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22
41 42 43 44 45 46 47 48 49 50 34 35 36 37 38 39 40 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23
42 43 44 45 46 47 48 49 50 34 35 36 37 38 39 40 41 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24
43 44 45 46 47 48 49 50 34 35 36 37 38 39 40 41 42 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25
44 45 46 47 48 49 50 34 35 36 37 38 39 40 41 42 43 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26
45 46 47 48 49 50 34 35 36 37 38 39 40 41 42 43 44 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27
46 47 48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28
47 48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29
48 49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30
49 50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
50 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
