g6	n	Q	bip	dist	Rnum	Rden	R	w
K??CF@aF^wNo	12	22	16	33	825	84	9.8214	3,0,2,0,1,2,3,2,2,3,2,2
K??CE@A~B{Fk	12	23	18	33	825	79	10.4430	3,3,0,1,0,2,3,2,2,2,2,3
K??CBAPFr\^_	12	22	16	33	825	84	9.8214	3,0,2,0,1,1,2,3,2,3,2,3
K??CF@aF^wNo	12	23	18	33	825	79	10.4430	3,1,2,0,1,2,3,2,2,3,2,2
K??CAB{Nr{Vg	12	25	21	39	975	100	9.7500	4,3,0,0,0,2,3,3,2,3,3,2
K??CE@A~B{Fk	12	24	18	45	1125	126	8.9286	3,0,0,0,1,2,3,3,3,3,3,3
K??CBAPFr\^_	12	23	17	36	900	104	8.6538	3,0,3,0,1,2,2,3,2,3,1,3
K??CE@afNwFw	12	20	13	25	625	75	8.3333	3,2,1,1,2,0,1,2,3,2,1,2
K??CF@aF^wNo	12	24	18	45	1125	126	8.9286	3,0,0,0,1,2,3,3,3,3,3,3
K??CE@A~B{Fk	12	25	21	39	975	100	9.7500	3,2,0,0,2,2,3,3,3,2,2,3
K??CE@afNwFw	12	21	14	33	825	91	9.0659	2,2,2,0,1,1,0,3,3,3,1,3
K??CBAPFr\^_	12	24	19	41	1025	101	10.1485	3,0,2,1,0,2,3,3,2,3,2,3
K??CF@aF^wNo	12	25	21	39	975	100	9.7500	3,0,2,0,2,2,3,3,3,3,2,2
K??CBAXXg}^_	12	20	13	25	625	75	8.3333	3,0,2,0,1,1,2,2,1,3,3,2
K??CE@afNwFw	12	22	16	33	825	84	9.8214	2,2,2,0,0,2,0,3,3,3,2,3
K??CBAPFr\^_	12	25	21	39	975	100	9.7500	4,1,2,0,1,2,2,3,2,3,2,3
K??CE@afNwFw	12	23	17	36	900	104	8.6538	1,3,0,0,1,2,3,2,3,3,2,3
K??CBAXXg}^_	12	21	14	33	825	91	9.0659	2,2,1,1,1,0,3,2,1,2,3,3
K??ED?}VVw^_	12	20	12	27	675	100	6.7500	1,2,2,0,1,2,3,3,2,2,1,1
K??CFAWFrL^_	12	20	13	25	625	75	8.3333	1,0,2,1,1,1,1,3,2,2,3,3
K??CE@afNwFw	12	24	19	41	1025	101	10.1485	2,2,2,0,1,2,1,3,3,3,2,3
K??ED?}VVw^_	12	21	14	33	825	91	9.0659	2,2,2,0,0,2,3,3,3,3,0,1
K??CBAXXg}^_	12	22	16	33	825	84	9.8214	3,1,1,0,0,2,2,3,2,2,3,3
K??CFAWFrL^_	12	21	14	33	825	91	9.0659	1,1,2,1,2,0,2,2,2,3,3,2
K??ED?}VVw^_	12	22	16	33	825	84	9.8214	2,2,2,0,0,2,3,3,3,3,1,1
K??CE@afNwFw	12	25	21	39	975	100	9.7500	2,3,0,0,2,1,2,3,4,2,3,3
K??CBAXXg}^_	12	23	17	34	850	104	8.1731	3,0,2,0,2,2,3,3,1,2,3,2
K??ED?}VVw^_	12	23	18	33	825	79	10.4430	2,2,2,2,0,0,3,3,3,3,1,2
*** psi >= 1/25 : K??CBA\FvwNo Q=20 bip=16 dist=0 w=0,1,3,1,1,2,0,4,2,2,2,2
K??CFAWFrL^_	12	22	16	33	825	84	9.8214	2,2,1,1,2,0,2,2,2,3,3,2
K??CBA\FvwNo	12	20	12	27	675	100	6.7500	2,1,2,0,0,2,3,2,3,2,2,1
K??CBAXXg}^_	12	24	19	41	1025	101	10.1485	3,3,0,1,1,1,3,2,2,2,3,3
K??CBA\FvwNo	12	21	14	33	825	91	9.0659	3,1,2,0,0,1,3,3,2,2,2,2
K??CFAWFrL^_	12	23	17	36	900	104	8.6538	1,0,3,2,1,0,3,2,3,3,3,2
K??ED?}VVw^_	12	24	18	45	1125	126	8.9286	3,3,3,0,1,2,3,3,3,3,0,0
K??CBA\FvwNo	12	22	16	33	825	84	9.8214	3,1,2,0,0,2,3,3,2,2,2,2
K??CBAXXg}^_	12	25	21	39	975	100	9.7500	3,2,2,1,2,0,3,2,2,2,3,3
K??CFAWFrL^_	12	24	19	41	1025	101	10.1485	2,0,2,2,1,2,1,3,3,3,3,2
K??CBA\FvwNo	12	23	18	33	825	79	10.4430	3,1,2,0,1,2,3,3,2,2,2,2
K??ED?}VVw^_	12	25	21	39	975	100	9.7500	2,2,3,0,1,2,4,3,3,3,0,2
K??CF@aFsx^_	12	20	12	27	675	100	6.7500	2,1,2,0,1,2,3,2,2,2,2,1
K??CFAWFrL^_	12	25	21	39	975	100	9.7500	2,1,2,2,2,0,3,3,2,3,3,2
K??EF?}Fvw^_	12	20	12	19	475	100	4.7500	1,2,2,0,1,2,2,3,3,2,1,1
K??CF?^^fw^_	12	20	12	19	475	100	4.7500	2,0,3,0,1,1,3,2,3,2,1,2
K??EF?}Fvw^_	12	21	12	19	475	141	3.3688	0,3,3,0,0,3,3,2,2,3,1,1
K??CF@aFsx^_	12	21	14	33	825	91	9.0659	1,0,3,1,1,1,2,2,3,3,2,2
K??CBA\FvwNo	12	24	18	45	1125	126	8.9286	3,1,2,0,0,0,3,3,3,3,3,3
K??CF?^^fw^_	12	21	12	19	475	141	3.3688	3,1,2,0,1,2,3,3,2,2,1,1
K??EF?}Fvw^_	12	22	15	19	475	109	4.3578	3,0,3,0,0,3,3,2,2,3,1,2
K??CF?^^fw^_	12	22	15	19	475	109	4.3578	3,1,2,0,1,2,3,3,2,3,1,1
K??CF@aFsx^_	12	22	15	32	800	109	7.3394	1,1,2,3,0,0,3,2,2,3,3,2
K??EF?}Fvw^_	12	23	15	24	600	154	3.8961	1,2,2,0,1,2,3,4,3,2,2,1
K??CBA\FvwNo	12	25	21	39	975	100	9.7500	3,2,2,0,0,2,3,3,3,3,2,2
K??CF?^^fw^_	12	23	15	24	600	154	3.8961	3,2,2,0,1,2,3,2,3,2,2,1
K??EF?}Fvw^_	12	24	18	27	675	126	5.3571	1,2,3,0,1,2,3,3,3,3,1,2
K??CF@aFsx^_	12	23	18	33	825	79	10.4430	3,2,1,0,1,2,2,2,3,3,2,2
K??CF@aFoz^_	12	20	12	27	675	100	6.7500	2,1,2,0,1,2,3,2,2,1,2,2
K??CF?^^fw^_	12	24	18	27	675	126	5.3571	3,1,2,0,0,3,3,3,3,3,3,0
K??EF?}Fvw^_	12	25	18	27	675	175	3.8571	0,3,3,0,0,3,4,3,3,3,0,3
K??CF?^^fw^_	12	25	18	27	675	175	3.8571	3,3,0,0,2,1,3,3,3,3,2,2
K??CF@aFsx^_	12	24	18	45	1125	126	8.9286	0,1,2,0,1,2,3,3,3,3,3,3
K??CF@aFoz^_	12	21	14	33	825	91	9.0659	2,1,1,0,1,2,3,1,3,2,2,3
K??E@_NMeI~_	12	20	13	25	625	75	8.3333	2,0,3,0,1,1,2,2,3,1,3,2
K??CF@aFoz^_	12	22	16	33	825	84	9.8214	2,0,2,2,0,1,3,2,3,2,2,3
K??CF@aFsx^_	12	25	21	39	975	100	9.7500	2,1,2,0,2,2,3,3,3,3,2,2
K??E@_NMeI~_	12	21	15	24	600	66	9.0909	2,1,1,2,1,1,2,2,2,2,2,3
K??ED@_NayRc	12	20	12	40	1000	100	10.0000	2,2,2,0,0,2,2,2,2,2,2,2
K??CF?^^b{^_	12	20	12	19	475	100	4.7500	2,0,3,1,1,0,3,2,3,1,1,3
K??CF@aFoz^_	12	23	18	33	825	79	10.4430	2,2,0,0,1,2,3,3,3,2,2,3
K??CF?^^b{^_	12	21	12	19	475	141	3.3688	3,0,2,1,1,2,2,3,2,0,3,2
K??E@_NMeI~_	12	22	15	32	800	109	7.3394	1,2,1,2,2,1,2,3,3,2,1,2
K??CF@aFoz^_	12	24	18	45	1125	126	8.9286	3,1,2,0,1,2,3,0,3,3,3,3
K??CF?^^b{^_	12	22	15	19	475	109	4.3578	3,0,3,0,3,0,3,3,2,3,0,2
K??ED@_NayRc	12	21	12	40	1000	141	7.0922	2,2,2,0,1,2,2,2,2,2,2,2
K??CF?^^b{^_	12	23	15	24	600	154	3.8961	3,1,2,0,2,2,3,3,2,1,2,2
K??E@_NMeI~_	12	23	17	36	900	104	8.6538	1,2,1,2,0,3,3,2,3,2,1,3
K??CF@aFoz^_	12	25	21	39	975	100	9.7500	2,0,3,0,2,1,4,2,3,2,3,3
K??CF?^^b{^_	12	24	18	27	675	126	5.3571	3,2,1,0,0,3,3,3,3,2,1,3
K??CF?^Fr{^_	12	20	12	19	475	100	4.7500	3,0,2,0,1,2,2,3,1,1,3,2
K??ED@_NayRc	12	22	14	42	1050	134	7.8358	2,3,1,0,2,1,3,1,2,2,2,3
K??CF?^^b{^_	12	25	18	27	675	175	3.8571	3,3,0,0,0,3,3,3,3,2,1,4
K??E@_NMeI~_	12	24	19	41	1025	101	10.1485	0,3,2,1,2,1,2,3,3,2,2,3
K??CF?^Fr{^_	12	21	12	19	475	141	3.3688	3,0,2,0,0,4,2,3,2,0,3,2
K??EEBoB~wFw	12	20	12	19	475	100	4.7500	1,2,0,2,1,2,0,2,3,2,2,3
K??CF?^Fr{^_	12	22	15	19	475	109	4.3578	2,2,1,2,1,0,3,3,0,3,2,3
K??EEBoB~wFw	12	21	12	19	475	141	3.3688	2,1,1,1,0,3,1,2,3,2,2,3
K??E@_NMeI~_	12	25	21	39	975	100	9.7500	2,2,0,3,3,0,2,3,3,2,2,3
K??CF?^Fr{^_	12	23	15	24	600	154	3.8961	3,2,2,0,1,2,3,2,1,2,2,3
K??ED@_NayRc	12	23	16	40	1000	129	7.7519	1,2,3,2,0,1,2,3,2,3,3,1
K??EEBoB~wFw	12	22	15	19	475	109	4.3578	1,2,1,2,1,2,1,2,3,2,2,3
K??CF?^Fr{^_	12	24	18	27	675	126	5.3571	3,1,2,0,1,2,3,3,1,2,3,3
K??CF?^Fr{^_	12	25	18	27	675	175	3.8571	3,0,3,0,0,4,3,3,1,2,3,3
K??EEBoB~wFw	12	23	15	24	600	154	3.8961	1,2,1,2,2,2,1,2,3,2,2,3
K??ED@_NayRc	12	24	18	47	1175	126	9.3254	3,3,0,0,0,3,3,2,2,2,3,3
K??EEBoB~wFw	12	24	18	27	675	126	5.3571	1,2,1,2,1,2,1,2,3,3,3,3
K??EDaKRR`Fo	12	20	12	40	1000	100	10.0000	2,2,1,1,0,2,2,2,2,2,2,2
K??ED?}Nay^_	12	20	12	27	675	100	6.7500	3,2,2,0,0,1,2,2,0,3,3,2
K??EEBoB~wFw	12	25	18	26	650	175	3.7143	1,2,2,2,3,2,2,2,3,2,2,2
K??ED?}Nay^_	12	21	14	33	825	91	9.0659	2,2,2,0,0,2,3,3,2,1,3,1
K??ED@_NayRc	12	25	18	55	1375	175	7.8571	3,3,3,0,1,0,3,3,3,2,2,2
K??ED?qFqZ^_	12	20	13	27	675	75	9.0000	2,1,1,2,2,0,2,2,2,1,2,3
K??ED?}Nay^_	12	22	16	33	825	84	9.8214	2,2,2,0,0,2,3,3,2,1,3,2
K??EDaKRR`Fo	12	21	12	40	1000	141	7.0922	2,2,0,2,1,2,2,2,2,2,2,2
K??ED?}Nay^_	12	23	17	36	900	104	8.6538	2,3,2,1,1,1,3,3,0,3,3,1
K??ED?qFqZ^_	12	21	15	24	600	66	9.0909	2,0,1,1,1,1,3,2,3,2,3,2
K??ED?^Nay^_	12	20	13	25	625	75	8.3333	1,3,2,1,0,2,2,3,1,2,2,1
K??ED?}Nay^_	12	24	18	45	1125	126	8.9286	3,3,3,0,0,3,3,3,0,3,3,0
K??ED?^Nay^_	12	21	15	24	600	66	9.0909	1,2,3,0,1,1,2,3,1,2,3,2
K??EDaKRR`Fo	12	22	14	42	1050	134	7.8358	1,3,2,0,1,2,2,1,2,2,3,3
K??ED?qFqZ^_	12	22	16	36	900	84	10.7143	2,2,2,2,0,2,2,2,2,2,2,2
K??ED?}Nay^_	12	25	21	39	975	100	9.7500	3,3,2,0,0,2,3,3,2,2,3,2
K??ED?^Nay^_	12	22	16	33	825	84	9.8214	0,3,3,0,0,2,3,3,2,2,2,2
K??EFBOFp\^_	12	20	13	25	625	75	8.3333	1,2,3,2,0,1,1,2,2,3,2,1
K??ED?^Nay^_	12	23	17	36	900	104	8.6538	2,3,2,0,2,1,3,3,0,3,3,1
K??ED?qFqZ^_	12	23	18	36	900	79	11.3924	2,2,2,2,0,2,2,2,2,2,2,3
K??EDaKRR`Fo	12	23	16	40	1000	129	7.7519	2,3,1,0,0,3,2,1,3,3,3,2
K??EFBOFp\^_	12	21	15	24	600	66	9.0909	0,2,2,3,0,1,1,3,2,3,2,2
K??ED?qFqZ^_	12	24	19	43	1075	101	10.6436	1,2,3,1,0,2,3,2,2,3,2,3
K??ED?^Nay^_	12	24	19	41	1025	101	10.1485	2,3,2,0,0,2,3,3,1,3,3,2
K??EFBOFp\^_	12	22	16	32	800	84	9.5238	0,2,2,3,0,1,1,3,2,3,3,2
K??EDaKRR`Fo	12	24	18	47	1175	126	9.3254	2,2,1,2,0,3,0,3,3,3,3,2
K??EFBOFp\^_	12	23	17	36	900	104	8.6538	1,2,3,2,0,2,0,3,3,3,3,1
K??ED?qFqZ^_	12	25	21	43	1075	100	10.7500	1,2,3,1,0,2,3,2,2,3,3,3
K??ED?^Nay^_	12	25	21	39	975	100	9.7500	0,4,3,0,0,2,3,3,3,3,2,2
K??EF?}Fp{^_	12	20	12	19	475	100	4.7500	1,2,2,2,0,1,2,3,2,2,1,2
K??EFB_NfwB{	12	20	12	19	475	100	4.7500	2,1,2,0,2,1,2,0,3,3,2,2
K??EFBOFp\^_	12	24	19	41	1025	101	10.1485	0,2,3,2,0,2,1,3,3,3,3,2
K??EF?}Fp{^_	12	21	12	19	475	141	3.3688	0,2,2,0,0,3,3,3,3,2,0,3
K??EFB_NfwB{	12	21	12	19	475	141	3.3688	0,2,2,0,1,2,3,1,2,3,3,2
K??EDaKRR`Fo	12	25	19	54	1350	150	9.0000	2,2,1,2,1,2,2,3,2,3,2,3
K??EF?}Fp{^_	12	22	15	19	475	109	4.3578	1,2,3,1,1,1,2,3,0,3,3,2
K??EFB_NfwB{	12	22	15	19	475	109	4.3578	0,3,3,0,0,3,3,1,1,2,3,3
K??E@c}NeY^_	12	20	12	19	475	100	4.7500	1,2,1,2,0,2,2,2,2,1,3,2
K??EFBOFp\^_	12	25	21	39	975	100	9.7500	0,2,3,2,2,1,0,3,4,3,3,2
K??EF?}Fp{^_	12	23	15	24	600	154	3.8961	1,2,2,0,1,2,2,3,2,3,2,3
K??E@c}NeY^_	12	21	12	19	475	141	3.3688	0,3,1,3,0,2,2,2,2,1,3,2
K??EFB_NfwB{	12	23	15	24	600	154	3.8961	1,2,2,0,0,3,2,2,1,4,3,3
K??E@c}NeY^_	12	22	15	19	475	109	4.3578	1,2,0,3,0,3,2,3,2,1,3,2
K??EF?}Fp{^_	12	24	16	28	700	176	3.9773	2,2,2,0,2,2,2,4,2,2,2,2
K??EFB_NfwB{	12	24	16	28	700	176	3.9773	2,2,2,0,2,2,2,2,2,4,2,2
K??E@_qBuZ^_	12	20	12	27	675	100	6.7500	0,2,1,2,1,2,3,2,1,2,2,2
K??EF?}Fp{^_	12	25	18	26	650	175	3.7143	3,0,2,0,1,1,2,3,4,4,1,4
K??EFB_NfwB{	12	25	17	28	700	200	3.5000	2,2,2,0,1,2,2,0,4,4,3,3
K??E@c}NeY^_	12	23	15	24	600	154	3.8961	1,2,2,2,1,2,3,2,1,2,3,2
